,Dairy farm products,Poultry & eggs,Meat animals & misc livestock,"Cotton, food grains, tobacco, fruits, vegetables",Coal mining,Crude petroleum & natural gas,Stone & clay mining,Chemical & fertilizer mineral mining,New construction,Maintenance & repair construction,Ordnance & accessories,Meat products,Dairy products,Canned & frozen foods,Grain mill products,Bakery products,Sugar,Confectionery products,Alcoholic beverages,Soft drinks & flavorings,Tobacco manufactures,Fabrics & yarn,"Floor covering, misc textiles",Lumber & wood products,Wooden containers,Household furniture,Other furniture & fixtures,Paper & paperboard,Paper containers & products,Printing & publishing,Basic chemicals,Synthetic materials,"Drugs, cleaning & toilet items",Paints & allied products,Petroleum refining,Rubber & plastic products,Leather tanning & finishing,Footwear & leather products,Glass & glass products,Stone & clay products,Primary iron & steel,Primary nonferrous metals,Metal containers,"Heating, plumbing, structural metal",Screw machine products,Other fabricated metal products,Engines & turbines,Farm machinery,Construction & mining machinery,Materials handling equipment,Metalworking machinery,Special industry machinery,General industrial machinery,Machine shop products,Office & computing machines,Service industry machines,Electric industrial equipment,Household appliances,Electric lighting & wiring,"Radio, TV, communication equipment",Electronic components,Misc electrical machinery,Motor vehicles & equipment,Aircraft & parts,Transportation & warehousing,Communications except radio & TV,Radio & TV broadcasting,"Electric, gas, water & sanitary services",Wholesale trade,Retail trade,Finance & insurance,Real estate & rental,Hotels & personal services,Business services,Eating & drinking places,Automobile repair & services,Amusements,"Medical, educational services & nonprofit orgs",Federal government enterprises,State & local government enterprises,Gross imports of goods & services,"Business travel, entertainment, gifts",Office supplies,"Scrap, used & secondhand goods",Government industry
Dairy farm products,0.20960924624719804,0.1936546401800429,3.549079510738095e-05,0.11306401750668658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090674903690374,0.0,0.059457199199263226,0.06852264887710062,0.0,0.0,0.0022122381231370813,0.0,0.0,0.0,0.0,0.0,0.0,0.00023315752158186828,0.0,0.0013984377797187804,0.0,0.0,0.005319452325808441,0.06740484450050943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0148033706573568e-05,0.0,0.0,0.0,0.0,0.0,0.05444474714804454,0.0,0.0,0.0,0.0,0.0,0.030952474258235184,0.0,0.0,0.0,0.003488637266793485,0.0,0.0,0.0,0.0
Poultry & eggs,0.40008696565544627,0.054683364755572984,0.6811521163870938,0.6806502483587481,0.0,0.0,0.0,0.0,0.0,0.0,0.004192884649776053,0.0067002565214589645,0.0,0.11666809425233049,0.3593654775490213,0.1938143380009166,0.088004266548784,0.0026727109696159787,0.0004511849188090505,0.06900407266415286,0.0,0.0,0.0,0.001437758452276962,0.0,0.0,0.010552307963513164,0.0,0.007511763280579326,0.0,0.0,0.0,0.002146911843190529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026812578643369434,0.0,0.003999868398696065,0.0003798029756388536,0.0,0.0,0.0,0.00043642447900777375,0.0,0.08278168382675356,0.0,0.0,0.0,0.0,0.0,0.0033992907135429644,0.015799941486907696,0.0,0.0,0.014018850223436533,0.0,0.0,0.0,0.0
Meat animals & misc livestock,0.0,0.0,0.005809133343176114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005041628922019875,0.0,0.0,0.0026406387097206315,0.017935603397724896,0.0030287462866587745,0.10746197723144298,0.0,0.0,0.0,0.0,0.0,0.0,0.005078767868011226,0.0,0.00010449773227431196,0.0,0.0,0.0,0.0011826209305710544,0.0,0.0,0.00015527546095119008,0.0,8.24595068848191e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24906164924207e-05,0.0,0.002863680428767865,2.315769849261775e-05,0.0,0.0,0.0,0.0,0.0,0.00025737996506864253,0.0,0.0,0.0,0.0,0.0,0.001294697949408439,0.0,0.0,0.0,0.003584090536028018,0.0,0.0,0.0,0.0
"Cotton, food grains, tobacco, fruits, vegetables",0.027910043141875875,0.11646890045788894,0.07758429773653905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020306402429443398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034922078991951805,0.0,0.0,0.0,0.0,0.0,0.0
Coal mining,0.0,0.0,0.0,0.0,0.15868835016273053,9.44058254688036e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025845485532524316,0.0,0.00011698750107203849,0.0,0.0,0.0,0.0,0.0,0.0,0.002412706647662168,0.09065072273634558,0.0017224874771495544,0.0,0.0,0.0,3.869030730421415e-06,0.0,0.0,0.0,0.0,4.941029560832309e-05,7.62391240124651e-06,0.0,0.0,0.0,0.0,0.0002721061849198459,0.0,0.0004849422918672678,0.0,2.612210779287781e-05,0.0036642374507522405,0.0,0.0,0.0,0.0005727653648783858,0.0,4.506893970361764e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00027437309511085925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude petroleum & natural gas,0.0,0.0,0.0,0.0,1.5647166819661188e-05,0.43065105404104137,0.0,0.0,0.0,0.04222760392982159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008012538007120826,0.0,0.00022231788459953222,0.0,9.540582955628902e-05,0.0,0.0,0.0,0.0,0.003596910383681097,0.0034538689175744766,0.12706863416271716,0.0,0.0,0.0,7.308169157462673e-06,0.0,0.0,0.0,0.0,9.432874616134408e-05,1.3977172735618601e-05,0.0,0.0,0.0,0.0,0.0005168551950542136,0.0,0.0009258898191115257,0.0,4.571368863753616e-05,0.005621389348194419,0.0,0.0,0.0,0.0010909390309168006,0.0,1.3520681911085291e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00034917390497705503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stone & clay mining,0.00033254272256625744,0.00030279379280429426,0.00010363312171355238,0.0,0.015010848702328298,0.006885331537524742,0.41880956091062693,0.0,0.012099707090762546,0.0060174071214797115,4.994655327718946e-05,0.0004186302782204376,0.004625424171234665,0.0020592171073636227,0.000857276705644618,0.003953246868150764,0.00514564537411002,0.0009756223809228166,0.0013301020750039088,0.0009982252717878985,0.0006171253290492021,0.0024418616692613317,0.0022545331790123457,0.019285757316270285,0.001549878768340609,0.0004640971573723505,0.02367140745048941,0.015563247630966672,0.00270236964220143,0.0011750565585531042,0.002342800948689767,0.0060222178831352505,0.00808275920624909,0.0008752691254236858,0.006386211890225131,0.03545075781275332,0.05189837245597396,0.00279867566367076,0.00039091012872359196,0.0009780673840776122,0.0013979653948919617,0.0022552150235323047,0.0019285008316659836,0.0016967912305519894,0.0012891875425661901,0.0010900222318080764,0.0015631620792451305,0.0015120759595805577,0.0014524544553032985,0.0009159453728911863,0.0029377506387299793,0.0013346762921911674,0.0024645883355846007,0.0011905277587197075,0.0009638852976495797,0.0015135734086331799,0.0009077432458025038,0.0013957784718394675,0.00138572291952262,0.0008782880960453104,0.0014952814295516143,0.0010381372238420742,0.002378710540661083,0.0019253451041385456,0.04239522499961334,0.0002458215218693361,0.0,0.08654107946730362,0.004307966455464178,0.00027688628950725796,0.006275275826046527,0.0017951986687517972,5.447756432309294e-05,0.0,0.0010512538014088354,0.0008044567439323113,0.007320601274191788,0.009262228673665733,0.02055030032987933,0.0,0.0,0.0,0.0,0.0,0.0
Chemical & fertilizer mineral mining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05922888431523982,0.0,0.0,0.0009132844590852529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011656331989546513,0.0,0.0,0.0,0.6401143330144122,0.0,0.0,0.0,0.0,0.0,0.0,6.596760550785528e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008295806575532345,0.0,0.0,0.07469727493954528,0.0,0.0,0.006057546497743056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New construction,9.43351079647728e-05,0.003820074997322625,0.0,0.0,0.0,0.0,0.0010797730460049314,0.0,0.04473254831036584,0.0,0.011699058272822489,0.01396235513198583,0.0,7.435867679287825e-05,0.0,0.0,0.0,0.0,0.0,2.3739007652506508e-07,0.0,0.0,0.0,0.004183376865912485,0.000602120471902229,1.7365656028899925e-06,0.0035032818336578064,2.9817914773584053e-05,0.0008792797233599476,0.0033514189345317954,0.0012028209329337594,0.0017323504052351038,0.0,0.0,0.020930667855410055,0.14395816331050937,0.004120105604233606,0.00042365862203933724,0.0,0.00026814068663399444,1.9007007408456313e-06,0.00026954247421935855,8.388978617747029e-05,0.00010965657612410816,0.0007781127595906465,6.636360619836082e-06,0.00043945217457705535,0.00022998802410426972,0.0005367131662339089,0.0,0.0,4.437088737337658e-06,3.273090554691145e-05,1.723377428506619e-05,0.0,0.0010447789143210261,0.0013627032898617924,1.5310184334619387e-05,1.4710434389836731e-06,7.977185250184473e-07,0.0,0.0006040884707701725,0.0,0.017512437900634704,0.00034209856401368893,0.0,0.0,0.0,0.0,0.0,0.0004065936137955041,0.0021330064686030546,0.0,0.0,0.0,0.0,1.4788097651724033e-06,0.0,1.0745255074446709e-05,0.0,0.0,0.0,0.0,0.0,0.0
Maintenance & repair construction,0.0,0.0004598728882444355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28380164764855803,0.0006909273203344542,0.0,0.0,1.933209138233013e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023403243643311117,0.0,0.0,0.046890396663737184,3.4077616884096062e-06,2.497953759545306e-06,0.0,0.00021161990983368798,0.000614087202048012,0.0,0.0,0.002616795269326726,0.0010202511169557606,0.0008228773668782076,0.002118109866848053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.840186792534373e-07,0.0,0.0,0.0,1.1724503479490668e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013563466353330936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
