,Dairy farm products,Poultry & eggs,Meat animals & misc livestock,"Cotton, food grains, tobacco, fruits, vegetables",Coal mining,Crude petroleum & natural gas,Stone & clay mining,Chemical & fertilizer mineral mining,New construction,Maintenance & repair construction,Ordnance & accessories,Meat products,Dairy products,Canned & frozen foods,Grain mill products,Bakery products,Sugar,Confectionery products,Alcoholic beverages,Soft drinks & flavorings,Tobacco manufactures,Fabrics & yarn,"Floor covering, misc textiles",Lumber & wood products,Wooden containers,Household furniture,Other furniture & fixtures,Paper & paperboard,Paper containers & products,Printing & publishing,Basic chemicals,Synthetic materials,"Drugs, cleaning & toilet items",Paints & allied products,Petroleum refining,Rubber & plastic products,Leather tanning & finishing,Footwear & leather products,Glass & glass products,Stone & clay products,Primary iron & steel,Primary nonferrous metals,Metal containers,"Heating, plumbing, structural metal",Screw machine products,Other fabricated metal products,Engines & turbines,Farm machinery,Construction & mining machinery,Materials handling equipment,Metalworking machinery,Special industry machinery,General industrial machinery,Machine shop products,Office & computing machines,Service industry machines,Electric industrial equipment,Household appliances,Electric lighting & wiring,"Radio, TV, communication equipment",Electronic components,Misc electrical machinery,Motor vehicles & equipment,Aircraft & parts,Transportation & warehousing,Communications except radio & TV,Radio & TV broadcasting,"Electric, gas, water & sanitary services",Wholesale trade,Retail trade,Finance & insurance,Real estate & rental,Hotels & personal services,Business services,Eating & drinking places,Automobile repair & services,Amusements,"Medical, educational services & nonprofit orgs",Federal government enterprises,State & local government enterprises,Gross imports of goods & services,"Business travel, entertainment, gifts",Office supplies,"Scrap, used & secondhand goods",Government industry
Dairy farm products,1.4655194,0.0460738,0.0461636,0.1740559,0.0014748,0.0013748,0.0011711,0.0016004,0.001267,0.0016319,0.002878,0.0026402,0.0048206,0.4161753,0.0111365,0.0149529,0.0224244,0.0077381,0.0112272,0.0071359,0.0043004,0.0065246,0.0036327,0.0071922,0.0042291,0.0040479,0.0074957,0.0058234,0.0108058,0.01409,0.0026193,0.0044724,0.1919157,0.0383731,0.0024619,0.0027182,0.0019089,0.0022098,0.0033156,0.0027172,0.0021592,0.0023137,0.0021064,0.002716,0.0021387,0.0025737,0.0024056,0.0026832,0.0026724,0.0022182,0.0047823,0.0024043,0.002921,0.0025725,0.0026046,0.0039239,0.0034681,0.0025069,0.0022454,0.0067449,0.003264,0.0043399,0.0027244,0.0050363,0.0031922,0.0016445,0.004547,0.0017804,0.0025258,0.0043435,0.0013751,0.0033449,0.0032993,0.1407087,0.0018196,0.0194785,0.010745,0.0010456,0.0028961,0.0,0.0,0.0,0.0,0.0,0.0
Poultry & eggs,0.3743123,1.049898,0.11602,0.1462162,0.0014579,0.0012774,0.0013197,0.0012527,0.0011009,0.0014142,0.0048313,0.0026473,0.0033322,0.1997919,0.2276248,0.0901247,0.0357502,0.0304893,0.0449642,0.0233953,0.010666,0.0123182,0.005327,0.0082726,0.004418,0.0035144,0.0065552,0.0048987,0.0081359,0.0142242,0.0019497,0.0056375,0.0927103,0.0237673,0.0024175,0.0026548,0.001685,0.0020661,0.0025823,0.002229,0.0018196,0.0020694,0.0016167,0.0020883,0.0017521,0.0019246,0.001787,0.0021048,0.0021327,0.0017433,0.0033105,0.0019786,0.0022596,0.0025583,0.0023094,0.002922,0.002537,0.0020763,0.0028174,0.0044913,0.0042137,0.0039752,0.0022044,0.0075912,0.0036506,0.0012515,0.0097841,0.0015503,0.0017658,0.0028608,0.0018496,0.0038363,0.0028647,0.0790629,0.0017476,0.0439488,0.0062933,0.0009955,0.0027412,0.0,0.0,0.0,0.0,0.0,0.0
Meat animals & misc livestock,0.0017782,0.0005669,0.8819378,0.0031887,0.000588,0.0008036,0.0010406,0.0002845,0.0003474,0.0004235,0.007378,0.0027372,0.0008616,0.0079115,0.0004613,0.0010196,0.0010224,0.0035771,0.0010316,0.0996088,0.0419078,0.0147939,0.0074808,0.0106421,0.0045369,0.001988,0.0012433,0.001016,0.0010398,0.0042073,0.0004258,0.0011042,0.0038839,0.0021497,0.002071,0.0015034,0.0009293,0.0011713,0.000941,0.0010508,0.0008662,0.0013867,0.000501,0.0008074,0.0007463,0.0006955,0.0005458,0.0010186,0.0008054,0.000508,0.0006129,0.0008513,0.0008384,0.0010667,0.0008347,0.0009174,0.0005758,0.0007172,0.0008228,0.0007027,0.0069206,0.0010478,0.0006898,0.0042857,0.0004419,0.0002124,0.0001771,0.000392,0.0002955,0.0004208,0.000244,0.0006236,0.0006485,0.0083624,0.0004513,0.0005053,0.0005598,0.0001421,0.0009784,0.0,0.0,0.0,0.0,0.0,0.0
"Cotton, food grains, tobacco, fruits, vegetables",0.0493825,0.0359538,0.0221199,0.88761,0.0010469,0.0003946,0.0004318,0.0007151,0.0004331,0.0005798,0.0014322,0.0005843,0.0005316,0.0174117,0.0079286,0.003737,0.002166,0.0017255,0.0021417,0.003656,0.0021356,0.001658,0.0007976,0.0012224,0.0007949,0.0007519,0.0010572,0.0009187,0.0012086,0.0014635,0.0006859,0.0009,0.0082424,0.0021129,0.0012899,0.0007578,0.000591,0.0010916,0.0010511,0.0011485,0.0007896,0.0007316,0.0005229,0.0005975,0.0004824,0.0004647,0.0004216,0.0005482,0.0005271,0.0005363,0.0007257,0.0005552,0.0006275,0.0005463,0.0006313,0.0006617,0.0006904,0.0006065,0.0005481,0.0007194,0.0008292,0.0006643,0.0004846,0.0009445,0.0004459,0.0027156,0.0022325,0.0021394,0.0008366,0.000579,0.0034418,0.001261,0.0007264,0.0067109,0.0004924,0.0087271,0.0016749,0.0002291,0.0008015,0.0,0.0,0.0,0.0,0.0,0.0
Coal mining,0.0005986,0.0005815,0.0011724,0.0006625,0.9686866,0.0050347,0.0020819,0.0008283,0.002366,0.0023221,0.003444,0.0017846,0.0044083,0.0012007,0.0002958,0.000788,0.0008149,0.0005014,0.0007733,0.0014155,0.0031074,0.0023142,0.0065265,0.0007331,0.000943,0.0004577,0.0032762,0.001664,0.00125,0.0028135,0.0009243,0.0014247,0.0009435,0.0008398,0.0008155,0.0023918,0.0576558,0.0030933,0.0203833,0.0155114,0.0164497,0.0107732,0.0102467,0.0101357,0.0106355,0.0099462,0.0070686,0.0069951,0.0091096,0.0067847,0.0021348,0.0066213,0.0054957,0.0068446,0.0049394,0.0018852,0.002157,0.0040145,0.0081486,0.0028146,0.0075452,0.0027467,0.0017562,0.0028698,0.0006547,0.0001455,8.62e-05,0.0004955,0.0001398,0.0001279,0.0001527,0.000534,0.0003664,0.0005061,0.0026756,0.0002129,0.0002459,0.0001452,0.0007231,0.0,0.0,0.0,0.0,0.0,0.0
Crude petroleum & natural gas,0.0009271,0.0013704,0.0014634,0.0011474,0.0669572,1.125445,0.0015037,0.000708,0.0021197,0.0015459,0.0059868,0.0026039,0.0075838,0.0013596,0.0005363,0.0020579,0.002023,0.0012247,0.0014212,0.0017131,0.0013743,0.0029118,0.0041046,0.0017543,0.001727,0.0012516,0.0116367,0.0055446,0.002324,0.0081942,0.001354,0.0025211,0.0016739,0.0019557,0.0014126,0.004063,0.0109723,0.1482081,0.017325,0.0166708,0.0107448,0.0129913,0.0113108,0.0054965,0.0048039,0.0076495,0.006403,0.0079297,0.0081358,0.0093992,0.0059622,0.0126053,0.0136636,0.0107088,0.0118993,0.0067081,0.0085567,0.0209448,0.0068234,0.0079976,0.0088583,0.008362,0.0060588,0.0106863,0.0007636,0.0003936,0.0001596,0.0006086,0.0002061,0.0002259,0.0002274,0.0010553,0.0006579,0.0006619,0.0027308,0.0004058,0.0004656,0.0002125,0.0012255,0.0,0.0,0.0,0.0,0.0,0.0
Stone & clay mining,0.0025096,0.0022689,0.0016015,0.0024423,0.0109147,0.0049896,1.1400819,0.0018235,0.0078666,0.0098326,0.0041895,0.0025184,0.0051944,0.0032333,0.001463,0.0060718,0.0057335,0.0033082,0.004479,0.0057565,0.0048464,0.0042679,0.0068752,0.0121628,0.0066323,0.0031929,0.0116504,0.0116331,0.003459,0.005701,0.0046209,0.0053655,0.0042893,0.0029349,0.0050487,0.0122607,0.0342509,0.0062651,0.0137506,0.0115936,0.0115847,0.0085402,0.0076561,0.0076224,0.0078921,0.0072321,0.0056682,0.0056865,0.0070182,0.0062789,0.0028149,0.0059001,0.0054118,0.0061834,0.0051349,0.0026658,0.0033087,0.004542,0.007066,0.0032663,0.0064358,0.0033912,0.0037999,0.0043396,0.0016685,0.0007407,0.0005019,0.0658229,0.0014515,0.0012298,0.0006678,0.0028409,0.0014492,0.0025465,0.0031295,0.0015544,0.0023259,0.0011209,0.0050311,0.0,0.0,0.0,0.0,0.0,0.0
Chemical & fertilizer mineral mining,0.0170583,0.024228,0.0177367,0.0204845,0.0188758,0.0166011,0.0152498,1.0388809,0.0260148,0.0247013,0.0163929,0.0230991,0.0078291,0.0133608,0.0081936,0.0186852,0.018464,0.0113059,0.0133905,0.0184547,0.0142062,0.0114391,0.010516,0.0212095,0.0171385,0.0092001,0.0648799,0.0347765,0.0153984,0.0312007,0.5538629,0.0162671,0.0170584,0.0106041,0.0139236,0.0195171,0.0157997,0.0168832,0.0128399,0.0114816,0.0108692,0.0114167,0.0091806,0.0089187,0.0089429,0.009321,0.0098453,0.0111552,0.0113097,0.01338,0.0069678,0.0105099,0.0102448,0.0096369,0.0091133,0.006693,0.0087933,0.0100471,0.0092433,0.008148,0.0106767,0.0090318,0.0091591,0.0129488,0.0262726,0.0025954,0.0022908,0.1120007,0.0075298,0.0047446,0.0042007,0.0123418,0.0070092,0.0086359,0.0099382,0.0066653,0.0082031,0.0064095,0.0201449,0.0,0.0,0.0,0.0,0.0,0.0
New construction,0.0018726,0.0038226,0.0006843,0.0018112,0.0061908,0.002399,0.0012893,0.0009814,0.9666169,0.0190951,0.0136048,0.0130606,0.0010113,0.0016427,0.0011089,0.001695,0.001616,0.0009365,0.0012189,0.0017431,0.0011757,0.0015808,0.0016173,0.005937,0.0029147,0.0014333,0.007207,0.0031706,0.0021954,0.0051923,0.0058541,0.002345,0.0018028,0.0010428,0.0109254,0.0700987,0.0051549,0.0016207,0.0024217,0.0022387,0.0020655,0.0021801,0.0018376,0.0015615,0.001904,0.0014792,0.0015943,0.0013935,0.0017781,0.0015059,0.0008648,0.0015139,0.0017408,0.0018766,0.0017321,0.0008449,0.0014783,0.0013484,0.0017321,0.0007879,0.0018189,0.0011377,0.0012495,0.0027294,0.0010068,0.0005086,0.0002646,0.0013776,0.0003261,0.0003289,0.0009347,0.0009117,0.0006026,0.0008999,0.0014054,0.0006657,0.0006162,0.0002606,0.0040987,0.0,0.0,0.0,0.0,0.0,0.0
Maintenance & repair construction,0.00171,0.0040399,0.0007002,0.001529,0.0008345,0.0013159,0.0005487,0.0002996,0.0013041,1.0332025,0.0008449,0.0007133,0.0005171,0.0012607,0.0010282,0.0036523,0.0034018,0.0016208,0.0020845,0.0007953,0.0004688,0.0010101,0.0008947,0.0021014,0.0015516,0.0009383,0.0270424,0.0097898,0.0026413,0.0068661,0.0010657,0.0040534,0.0037717,0.0016359,0.0015371,0.0048184,0.002034,0.0012204,0.0011542,0.0009037,0.0009491,0.0011593,0.000597,0.0006661,0.0006342,0.0006072,0.000544,0.0009353,0.0005931,0.0005564,0.0004925,0.0011289,0.0007162,0.0009743,0.0009374,0.0004804,0.0008986,0.0012363,0.000819,0.0003954,0.0007789,0.000616,0.0014772,0.0011592,0.0002426,7.14e-05,0.0001031,0.0003916,9.96e-05,0.0001142,9.04e-05,0.0004303,0.0003271,0.0005596,0.0004558,0.000334,0.00032,8.7e-05,0.001237,0.0,0.0,0.0,0.0,0.0,0.0
