year,value
1952,-9.5194
1953,-9.2491
1954,-6.8436
1955,-9.8369
1956,-13.5444
1957,-13.0864
1958,-7.0645
1959,-13.5535
1960,-19.0405
1961,-16.0051
1962,-19.4895
1963,-22.5453
1964,-20.578799999999998
1965,-21.544
1966,-26.599
1967,-21.9719
1968,-26.3708
1969,-37.399300000000004
1970,-23.682
1971,-11.5875
1972,-22.4084
1973,-30.1636
1974,-23.6723
1975,19.653299999999998
1976,4.9281999999999995
1977,-9.193299999999999
1978,-27.144099999999998
1979,-39.7815
1980,-18.4632
1981,-41.9803
1982,-6.5258
1983,8.9919
1984,-28.452599999999997
1985,-42.7725
1986,-41.3038
1987,-76.6251
1988,-94.2922
1989,-101.0163
1990,-74.7038
1991,-11.149899999999999
1992,35.0773
1993,38.6308
1994,4.2275
1995,6.0421000000000005
1996,-31.0235
1997,-95.5714
1998,-169.4546
1999,-207.8886
2000,-261.4047
2001,-145.1438
2002,92.9103
2003,176.8911
2004,185.1368
2005,118.21119999999999
2006,94.25580000000001
2007,104.1233
2008,362.7016
2009,845.8259
2010,957.9389
2011,897.133
2012,823.6114
2013,604.8994
2014,582.0185
2015,564.5075
2016,596.3379
2017,559.9225
2018,608.5608000000001
2019,651.6087
2020,1812.3714
2021,1804.9585
2022,759.9355
2023,1117.7296000000001
2024,1234.7386000000001
2025,1311.031
