year,value
1948,0.54
1949,0.535
1950,0.53
1951,0.525
1952,0.52
1953,0.515
1954,0.51
1955,0.505
1956,0.5
1957,0.495
1958,0.49
1959,0.485
1960,0.48
1961,0.476
1962,0.472
1963,0.468
1964,0.464
1965,0.46
1966,0.456
1967,0.452
1968,0.448
1969,0.444
1970,0.44
1971,0.436
1972,0.432
1973,0.428
1974,0.424
1975,0.42
1976,0.416
1977,0.412
1978,0.408
1979,0.404
1980,0.4
1981,0.396
1982,0.391
1983,0.387
1984,0.382
1985,0.378
1986,0.373
1987,0.369
1988,0.364
1989,0.36
1990,0.35
1991,0.348
1992,0.346
1993,0.344
1994,0.342
1995,0.34
1996,0.336
1997,0.332
1998,0.328
1999,0.324
2000,0.32
2001,0.318
2002,0.316
2003,0.314
2004,0.312
2005,0.31
2006,0.308
2007,0.306
2008,0.304
2009,0.302
2010,0.3
2011,0.298
2012,0.296
2013,0.294
2014,0.292
2015,0.29
2016,0.288
2017,0.286
2018,0.284
2019,0.282
2020,0.28
2021,0.278
2022,0.275
2023,0.273
2024,0.27
