year,value
1948,15164.05
1949,16674.4
1950,17548.11
1951,18976.22
1952,19448.48
1953,19880.53
1954,20302.4
1955,20476.71
1956,21506.07
1957,23339.38
1958,24852.68
1959,26232.89
1960,28138.84
1961,29075.66
1962,29530.57
1963,30386.52
1964,30126.86
1965,30361.86
1966,31405.82
1967,33397.32
1968,35142.29
1969,37564.4
1970,38954.43
1971,39357.23
1972,41352.24
1973,40322.24
1974,40254.66
1975,40399.56
1976,41654.05
1977,42710.48
1978,44554.05
1979,49074.7
1980,50006.19
1981,50933.66
1982,50723.24
1983,51541.77
1984,50876.15
1985,51125.77
1986,52383.0
1987,53788.91
1988,57358.96
1989,59696.0
