,Dairy farm products,Poultry & eggs,Meat animals & misc livestock,"Cotton, food grains, tobacco, fruits, vegetables",Coal mining,Crude petroleum & natural gas,Stone & clay mining,Chemical & fertilizer mineral mining,New construction,Maintenance & repair construction,Ordnance & accessories,Meat products,Dairy products,Canned & frozen foods,Grain mill products,Bakery products,Sugar,Confectionery products,Alcoholic beverages,Soft drinks & flavorings,Tobacco manufactures,Fabrics & yarn,"Floor covering, misc textiles",Lumber & wood products,Wooden containers,Household furniture,Other furniture & fixtures,Paper & paperboard,Paper containers & products,Printing & publishing,Basic chemicals,Synthetic materials,"Drugs, cleaning & toilet items",Paints & allied products,Petroleum refining,Rubber & plastic products,Leather tanning & finishing,Footwear & leather products,Glass & glass products,Stone & clay products,Primary iron & steel,Primary nonferrous metals,Metal containers,"Heating, plumbing, structural metal",Screw machine products,Other fabricated metal products,Engines & turbines,Farm machinery,Construction & mining machinery,Materials handling equipment,Metalworking machinery,Special industry machinery,General industrial machinery,Machine shop products,Office & computing machines,Service industry machines,Electric industrial equipment,Household appliances,Electric lighting & wiring,"Radio, TV, communication equipment",Electronic components,Misc electrical machinery,Motor vehicles & equipment,Aircraft & parts,Transportation & warehousing,Communications except radio & TV,Radio & TV broadcasting,"Electric, gas, water & sanitary services",Wholesale trade,Retail trade,Finance & insurance,Real estate & rental,Hotels & personal services,Business services,Eating & drinking places,Automobile repair & services,Amusements,"Medical, educational services & nonprofit orgs",Federal government enterprises,State & local government enterprises,Gross imports of goods & services,"Business travel, entertainment, gifts",Office supplies,"Scrap, used & secondhand goods",Government industry
Wooden containers,6e-05,0.00012,0.0,0.04595,0.00011,0.00024,6e-05,1e-05,0.00013,0.00049,0.0,0.0,0.00651,0.01905,0.00722,0.00502,0.00321,0.00447,0.01527,0.00184,0.00571,0.01277,0.01219,0.02021,0.01809,0.00325,0.00499,0.00995,0.02676,0.00769,0.00277,0.01222,0.00193,0.01384,0.05214,0.00597,0.00057,0.00075,0.01344,0.00435,0.00659,0.01003,0.00342,0.00137,0.00084,0.00083,0.00096,0.00086,0.00182,0.00391,0.00141,0.00449,0.00403,0.01824,0.01887,0.0024,0.00459,0.00775,0.00107,0.00067,0.0004,0.00678,0.00573,0.02844,0.00048,1e-05,6e-05,8e-05,0.0035,0.0,3e-05,0.0016,1e-05,0.0,1e-05,9e-05,0.00049,0.00023,1e-05,0.0,0.0,0.0,0.01923,0.0,0.0
Household furniture,0.0002,0.00036,0.00015,7e-05,6e-05,0.00012,3e-05,4e-05,4e-05,0.0001,3e-05,1e-05,0.00014,0.00564,0.00431,9e-05,0.00184,0.00044,2e-05,0.00022,0.0,0.0001,0.00071,0.00833,0.00562,0.11003,0.0002,0.00026,0.0022,0.00034,0.0001,0.00054,9e-05,0.00071,0.00021,0.00031,0.00012,0.00063,0.04078,0.00012,0.00025,0.00097,8e-05,0.00012,0.0001,0.00016,0.00015,0.00116,0.00014,0.00013,0.01407,9e-05,0.0009,4e-05,0.0001,0.00193,0.00015,6e-05,5e-05,0.00022,6e-05,0.00016,0.00075,0.00371,0.00094,0.0021,0.00031,0.0002,0.00232,0.00932,0.00111,0.00063,0.16585,0.0,2e-05,0.00215,0.01388,0.00374,0.00272,0.0,0.00123,0.5698,0.03731,0.0,0.0
Other furniture & fixtures,0.00245,0.08047,0.00139,0.00768,0.01577,0.03073,0.01591,0.0109,0.02042,0.02619,0.0017,0.00076,0.02232,0.00451,0.00178,0.02436,0.01388,0.00238,0.00019,0.0124,0.0035,0.00199,0.00167,0.03714,0.02341,0.01834,0.19009,0.34756,0.10871,0.21047,0.02311,0.03734,0.05,0.00132,0.02302,0.01857,0.01236,0.00883,0.00161,0.0011,0.00307,0.01098,0.00044,0.00041,8e-05,4e-05,0.00116,0.00062,0.00171,0.00178,0.00022,0.00335,0.00668,0.00554,0.00566,0.00088,0.01343,0.02312,0.00139,0.00064,0.00023,0.00326,0.04355,0.00571,0.00087,3e-05,0.0,0.0015,0.00132,2e-05,0.00266,0.00302,0.00264,0.0,0.0003,0.00402,0.00111,0.0007,0.01261,0.0,0.00019,0.00506,0.0,0.0,0.0
Paper & paperboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095,0.00093,0.01068,0.09546,0.16091,0.01966,0.00588,0.00117,0.0,0.00254,0.0,0.0115,0.00395,0.00194,0.02915,0.02787,0.00591,0.09463,0.00016,0.16482,0.00101,0.00045,0.0,0.00524,1e-05,0.00741,0.0,0.0,0.0018,7e-05,0.0,0.0,0.0,0.0,9e-05,5e-05,0.00013,0.0,0.00087,0.0,0.00415,0.0053,0.00809,0.00264,0.00778,0.00899,0.00056,0.00133,0.00273,0.00407,0.0076,0.02338,0.0,0.0,0.0,6e-05,0.00015,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper containers & products,0.00175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.003,0.00205,0.00112,0.00056,0.00023,0.00114,2e-05,0.0,8e-05,0.00028,0.00089,0.0,4e-05,0.01304,0.00581,0.05365,0.01002,0.00309,0.00121,0.03596,0.00149,0.00097,0.00041,0.0,0.0001,0.00075,0.00068,0.00041,0.00062,0.0,0.0,0.0,0.0,1e-05,0.00028,0.00026,0.00023,0.0,0.00013,0.0,0.00057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00861,4e-05,0.00164,9e-05,0.0,0.0,0.0,0.00168,0.0,0.00089,0.02275,0.00178,0.0,0.00047,0.0,0.0235,0.00217,0.00215,0.0,0.00698,0.0,0.0,0.0,0.0
Printing & publishing,0.0,0.0,0.00129,0.0,0.0,0.0,0.0,0.00059,0.0,0.0,0.0057,0.0371,0.00016,5e-05,5e-05,0.00039,0.00163,2e-05,0.00012,0.00447,0.00793,0.01503,0.01187,0.0009,0.00071,0.00067,0.00341,0.00576,0.00289,0.00655,0.00056,0.00164,0.00018,0.00012,0.00508,0.00075,0.00045,0.00052,0.02704,0.00814,0.00228,0.0055,0.00112,0.00245,0.00189,0.00114,0.0015,0.00032,0.00058,0.00063,0.00127,0.00386,0.00274,0.00851,0.00413,0.00047,0.00099,0.00022,0.0035,0.00072,0.00365,0.00066,0.00033,0.00463,0.0012,5e-05,3e-05,1e-05,0.00031,0.0,0.00013,0.00065,0.0003,0.0,0.00249,0.00015,2e-05,3e-05,0.0,0.0,0.0,4e-05,0.0,0.0,0.0
Basic chemicals,0.00545,0.03172,0.01835,0.00187,0.00247,0.00329,0.01107,0.0022,0.03151,0.00243,0.01753,0.02666,0.00244,0.00244,0.00019,0.00134,0.00133,0.00094,0.00044,0.00822,0.00147,0.00133,0.00138,0.0061,0.00489,0.00182,0.07765,0.01415,0.00428,0.01565,0.06787,0.00151,0.00275,0.00085,0.00184,0.00944,0.00366,0.00231,0.00101,0.00269,0.00185,0.00349,0.00403,0.00226,0.00331,0.00205,0.00492,0.00456,0.00382,0.01101,0.001,0.0021,0.00447,0.00152,0.00129,0.00156,0.00141,0.00108,0.00167,0.00409,0.0017,0.00181,0.00082,0.00302,0.03785,0.00336,0.00016,0.00737,0.00842,0.00192,0.00635,0.01117,0.00232,0.0,0.01178,0.00185,0.00437,0.00585,0.00992,0.0,0.0,0.0,0.00583,0.0,0.0
Synthetic materials,0.00119,0.00577,0.00257,4e-05,0.00832,0.00524,0.00854,0.00227,0.01214,0.00837,0.00802,0.00462,0.00824,0.00769,0.0062,0.0026,0.01647,0.00133,0.01898,0.00469,0.00074,0.04403,0.0392,0.01824,0.00459,0.00442,0.00408,0.02341,0.03121,0.0022,0.00214,0.04068,0.00294,0.08686,0.02415,0.01109,0.00105,0.00282,0.00146,0.00209,0.0063,0.01679,0.00199,0.02698,0.01639,0.01225,0.00833,0.00783,0.00526,0.0052,0.00904,0.01004,0.00871,0.04512,0.02079,0.00663,0.01966,0.01894,0.02056,0.00384,0.01773,0.01914,0.01325,0.03884,0.00544,0.00123,0.00016,0.00061,0.00437,0.00028,0.00119,0.00945,0.00717,0.0,0.01611,0.00026,0.00309,0.00172,0.00291,0.0,0.00039,0.00468,0.00482,0.0,0.0
"Drugs, cleaning & toilet items",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.00013,0.00297,0.00336,2e-05,0.0,0.00074,0.00032,3e-05,0.0,0.0,4e-05,1e-05,0.0,0.0,2e-05,0.00028,0.10935,0.18199,0.0,0.00027,5e-05,0.00026,0.0,0.0,0.00019,0.00012,0.00021,0.0,2e-05,0.0,3e-05,0.00025,0.00051,0.0,0.0,0.00019,0.00023,0.00024,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.00167,0.0,0.0,0.0,0.0,1e-05,0.0,1e-05,0.0,0.00024,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.00226,0.0,0.0
Paints & allied products,0.0003,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,1e-05,0.0,1e-05,0.00017,0.00043,0.00037,0.00014,0.0,8e-05,0.00011,5e-05,0.00017,6e-05,0.0,1e-05,1e-05,3e-05,0.0,0.00181,0.00358,0.02646,0.0,2e-05,3e-05,0.0,0.0,2e-05,0.00015,0.00013,0.0,2e-05,2e-05,0.00016,9e-05,9e-05,1e-05,3e-05,1e-05,2e-05,2e-05,0.00086,0.0,5e-05,4e-05,0.0,1e-05,5e-05,6e-05,0.00087,2e-05,0.00418,0.0,0.0,0.0,0.0,0.00024,0.0,5e-05,0.00966,0.0,0.0,0.0,0.00062,0.0,0.00021,0.0,0.0,0.00345,0.0,0.0001,0.0,0.0
