year,value
1948,51.0
1949,50.0
1950,54.7
1951,58.8
1952,62.2
1953,64.7
1954,66.3
1955,69.2
1956,73.0
1957,75.9
1958,77.0
1959,79.3
1960,82.5
1961,84.5
1962,87.0
1963,89.7
1964,93.1
1965,98.2
1966,106.1
1967,112.4
1968,119.7
1969,129.2
1970,136.3
1971,142.2
1972,149.2
1973,164.0
1974,185.6
1975,190.3
1976,203.9
1977,219.9
1978,242.4
1979,271.0
1980,287.4
1981,307.7
1982,314.0
1983,326.8
1984,345.9
1985,367.5
1986,381.3
1987,397.6
1988,419.8
1989,443.6
