,"Unproductive Employment (Lu = L - Lp) — S&T 1994; thousands; period=[1948, 1989]; series_status=book_period_partial_1948_1961"
Year,S516-A
1948,36154.0
1949,36642.0
1950,37594.0
1951,38763.0
1952,40735.0
1953,42281.0
1954,43484.0
1955,44750.0
1956,45028.0
1957,45210.0
1958,45960.0
1959,47837.0
1960,48955.0
1961,49212.0
