,"NSW/GDP Extended (Moos 2017) — Moos 2017; share; period=[1959, 2012]; series_status=validated_book_and_extension"
Year,ES1301-A
1959,-0.0145509124183207
1960,-0.0196885013835201
1961,-0.0111633378257775
1962,-0.0153326311688436
1963,-0.0172198481571765
1964,-0.0099241376355458
1965,-0.0078011506355806
1966,-0.0145212326422415
1967,-0.009469434614914
1968,-0.0119491370361626
1969,-0.0202125821307303
1970,-0.0030273300496154
1971,0.010571241382686
1972,0.0024136311391949
1973,0.0001994527234671
1974,0.0068983173280029
1975,0.0327534899375106
1976,0.0236426038485737
1977,0.0157895437460121
1978,0.0092979629596527
1979,0.0045256962451772
1980,0.0134677199776916
1981,0.0080580351220192
1982,0.0132268305491697
1983,0.0173360609417818
1984,0.0095509066169174
1985,0.0055653648854319
1986,0.0058249680926011
1987,0.0005250748839096
1988,-0.0010789292676891
1989,-0.0013253809633586
1990,0.0040483131205985
1991,0.0157932327829573
1992,0.023881378756402
1993,0.0246934191735498
1994,0.0216374551871229
1995,0.0218184568430824
1996,0.0174894007884911
1997,0.0108699010524643
1998,0.0038422757029482
1999,0.0008589669929759
2000,-0.0028283271245002
2001,0.008198928492795
2002,0.0301351542231416
2003,0.037164111352722
2004,0.0370436772123395
2005,0.0320731195481232
2006,0.0306149938378049
2007,0.0300046585245326
2008,0.0434962342401352
2009,0.0761814129056006
2010,0.0796081856267275
2011,0.072883772724032
2012,0.0672641204739599
