,"Value-Price Deviations — S&T 1994; percent; period=[1947, 1977]; series_status=pending_data_sourcing"
Year,S703-A
1947,37.77029651566801
1958,37.72037297739869
1963,41.520206844914256
1967,41.78590608470474
1972,37.77669655367616
1977,35.53064371634139
