,"Productive Employment (Lp) — S&T 1994; thousands; period=[1948, 1989]; series_status=book_period_partial_1948_1961"
Year,S515-A
1948,29937.0
1949,30013.0
1950,30280.0
1951,31365.0
1952,32566.0
1953,32856.0
1954,33445.0
1955,34125.0
1956,33247.0
1957,32727.0
1958,33896.0
1959,35462.0
1960,35657.0
1961,33615.0
