,"NSW/GDP (ST 2002) — Shaikh & Tonak 2002; share; period=[1952, 1997]; series_status=validated_book_and_extension"
Year,ES1201-A
1952,-0.0259143411707378
1953,-0.0237632894675991
1954,-0.0175230252797984
1955,-0.0231196442589276
1956,-0.0301420041704406
1957,-0.027606167425043
1958,-0.0146801211065833
1959,-0.0259817810272709
1960,-0.0351053316666113
1961,-0.0284682386799215
1962,-0.0322715516242163
1963,-0.0353679504274845
1964,-0.0300657452590363
1965,-0.0290237360381199
1966,-0.0327004452837054
1967,-0.0255499390087201
1968,-0.0280346270827331
1969,-0.0367519150169759
1970,-0.0220645987200259
1971,-0.0099476327424131
1972,-0.0175187435013407
1973,-0.0211618548368991
1974,-0.0153194675529997
1975,0.0116643440813245
1976,0.0026306012772417
1977,-0.0044159790491616
1978,-0.011542826816987
1979,-0.0151414000433138
1980,-0.006461748772533
1981,-0.0130900415679126
1982,-0.0019516183586942
1983,0.0024743549737234
1984,-0.0070468863657809
1985,-0.0098577338124936
1986,-0.0090190235850879
1987,-0.0157820199517426
1988,-0.018006935248732
1989,-0.0179056753604486
1990,-0.0125275861190003
1991,-0.0018105986412431
1992,0.0053796841784162
1993,0.0056324951057503
1994,0.0005801239317623
1995,0.0007908767683336
1996,-0.0038428132264073
1997,-0.0111420367955799
1998,-0.0186977845850798
1999,-0.0215849742897333
2000,-0.0255005291215879
2001,-0.0137161948450041
2002,0.0085011786872268
2003,0.0154403065522042
2004,0.0151537881523714
2005,0.0090658343454738
2006,0.0068224265309686
2007,0.0071937031805772
2008,0.0245568712828867
2009,0.0584211897900458
2010,0.0636547774595352
2011,0.0575095136249776
2012,0.0506713990489708
2013,0.0358338226006613
2014,0.0330539492591437
2015,0.0308558028827409
2016,0.0317118138222708
2017,0.0285498464162586
2018,0.0294609604059077
2019,0.0302511255580436
2020,0.0847881906207455
2021,0.0760762668412175
2022,0.0291670220099979
2023,0.0401894510105292
2024,0.0421441071788725
2025,0.0425950043511831
