,"Capacity-Adjusted Profit Rate (r*_adj = r*Ã—TCU) — S&T 1994; rate; period=[1948, 1989]; series_status=validated_book_and_extension_partial"
Year,S514-A
1967,0.3635248471651058
1968,0.3609226426268315
1969,0.3477747222199021
1970,0.3108471303397541
1971,0.3041845013179543
1972,0.3199803305855686
1973,0.329186077620513
1974,0.2886677710455774
1975,0.2631468960175376
1976,0.2820396673342173
1977,0.2961745633584927
1978,0.3003675442361031
1979,0.2874839197795076
1980,0.2621203370003683
1981,0.2617747290377996
1982,0.2362743536082311
1983,0.2504807047709059
1984,0.283484894326389
1985,0.2842176076650408
1986,0.2856440768436991
1987,0.2979321586062128
1988,0.3108336367856671
1989,0.3117626322942385
