,Marxian Productivity — ; index; period=; series_status=pending_capital_stock_data
Year,AS004-A
1948,123.53889015807349
1949,119.47891372258805
1950,130.49100185941955
1951,134.67431963095012
1952,132.66247119338277
1953,137.0088133215776
1954,131.4438279395005
1955,138.65420518076508
1956,144.8481771010463
1957,148.65492842753252
1958,139.24719927778273
1959,142.8295800630308
1960,144.01131037288036
1961,154.15178867378364
