,"A-Matrix — S&T 1994; matrix; period=[1947, 1977]; series_status=pending_data_sourcing"
Year,S401-A
1947,0.978708
1958,0.945661
1963,0.946938
1967,0.494501
1972,0.981982
1977,0.981816
