,"Labor Share of National Income (Tonak 1984) — Tonak 1984 PhD Dissertation; share; period=[1952, 1980]; series_status=book_period_validated"
Year,ES1001-A
1952,34.58
1953,36.31
1954,34.89
1955,38.56
1956,43.68
1957,47.35
1958,47.84
1959,53.68
1960,59.96
1961,62.27
1962,68.43
1963,74.28
1964,74.52
1965,80.74
1966,97.21
1967,108.52
1968,125.15
1969,144.77
1970,151.39
1971,157.06
1972,184.74
1973,211.25
1974,236.71
1975,241.7
1976,277.57
1977,315.86
1978,362.21
1979,413.94
1980,456.39
