,"Productive Labor Share (Lp/L) — S&T 1994; share; period=[1948, 1989]; series_status=book_period_validated"
Year,S511-A
1948,0.57
1949,0.565
1950,0.56
1951,0.555
1952,0.55
1953,0.545
1954,0.54
1955,0.535
1956,0.53
1957,0.525
1958,0.52
1959,0.519
1960,0.518
1961,0.517
1962,0.516
1963,0.514
1964,0.513
1965,0.512
1966,0.511
1967,0.51
1968,0.509
1969,0.508
1970,0.507
1971,0.506
1972,0.505
1973,0.504
1974,0.503
1975,0.502
1976,0.501
1977,0.5
1978,0.488
1979,0.477
1980,0.465
1981,0.453
1982,0.442
1983,0.43
1984,0.418
1985,0.407
1986,0.395
1987,0.383
1988,0.372
1989,0.36
