,"Net Social Wage (NSW = B_w + G_w - T_w) — S&T 1994; billions_usd; period=[1952, 1989]; series_status=validated_book_and_extension",Net Social Wage (NSW = B_w + G_w - T_w) — ; billions_usd; period=; series_status=validated_book_and_extension,"Net Social Wage (NSW = B_w + G_w - T_w) — ; billions_usd; period=[1952, 2025]; series_status=validated_book_and_extension"
Year,S607-A,S607-B,S607-COMBINED
1952,-9.5194,nan,-9.5194
1953,-9.2491,nan,-9.2491
1954,-6.8436,nan,-6.8436
1955,-9.8369,nan,-9.8369
1956,-13.5444,nan,-13.5444
1957,-13.0864,nan,-13.0864
1958,-7.0645,nan,-7.0645
1959,-13.5535,nan,-13.5535
1960,-19.0405,nan,-19.0405
1961,-16.0051,nan,-16.0051
1962,-19.4895,nan,-19.4895
1963,-22.5453,nan,-22.5453
1964,-20.5788,nan,-20.5788
1965,-21.544,nan,-21.544
1966,-26.599,nan,-26.599
1967,-21.9719,nan,-21.9719
1968,-26.3708,nan,-26.3708
1969,-37.3993,nan,-37.3993
1970,-23.682,nan,-23.682
1971,-11.5875,nan,-11.5875
1972,-22.4084,nan,-22.4084
1973,-30.1636,nan,-30.1636
1974,-23.6723,nan,-23.6723
1975,19.6533,nan,19.6533
1976,4.9282,nan,4.9282
1977,-9.1933,nan,-9.1933
1978,-27.1441,nan,-27.1441
1979,-39.7815,nan,-39.7815
1980,-18.4632,nan,-18.4632
1981,-41.9803,nan,-41.9803
1982,-6.5258,nan,-6.5258
1983,8.9919,nan,8.9919
1984,-28.4526,nan,-28.4526
1985,-42.7725,nan,-42.7725
1986,-41.3038,nan,-41.3038
1987,-76.6251,nan,-76.6251
1988,-94.2922,nan,-94.2922
1989,-101.0163,nan,-101.0163
1990,nan,-74.7038,-74.7038
1991,nan,-11.1499,-11.1499
1992,nan,35.0773,35.0773
1993,nan,38.6308,38.6308
1994,nan,4.2275,4.2275
1995,nan,6.0421000000000005,6.0421000000000005
1996,nan,-31.0235,-31.0235
1997,nan,-95.5714,-95.5714
1998,nan,-169.4546,-169.4546
1999,nan,-207.8886,-207.8886
2000,nan,-261.4047,-261.4047
2001,nan,-145.1438,-145.1438
2002,nan,92.9103,92.9103
2003,nan,176.8911,176.8911
2004,nan,185.1368,185.1368
2005,nan,118.2112,118.2112
2006,nan,94.2558,94.2558
2007,nan,104.1233,104.1233
2008,nan,362.7016,362.7016
2009,nan,845.8259,845.8259
2010,nan,957.9389,957.9389
2011,nan,897.133,897.133
2012,nan,823.6114,823.6114
2013,nan,604.8994,604.8994
2014,nan,582.0185,582.0185
2015,nan,564.5075,564.5075
2016,nan,596.3379,596.3379
2017,nan,559.9225,559.9225
2018,nan,608.5608000000001,608.5608000000001
2019,nan,651.6087,651.6087
2020,nan,1812.3714,1812.3714
2021,nan,1804.9585,1804.9585
2022,nan,759.9355,759.9355
2023,nan,1117.7296,1117.7296
2024,nan,1234.7386,1234.7386
2025,nan,1311.031,1311.031
