,"Productive Capital Stock (K*) — BEA; billions_usd; period=[1925, 2024]; series_status=book_period_validated"
Year,S517-A
1925,126.977
1926,131.537
1927,134.175
1928,137.774
1929,137.07
1930,130.22
1931,116.244
1932,107.642
1933,109.278
1934,110.648
1935,110.315
1936,121.36
1937,126.498
1938,125.187
1939,125.5
1940,133.587
1941,150.956
1942,160.521
1943,163.319
1944,165.236
1945,180.207
1946,221.007
1947,265.725
1948,291.557
1949,296.671
1950,335.868
1951,366.226
1952,386.31
1953,403.718
1954,414.924
1955,457.052
1956,505.534
1957,540.636
1958,551.356
1959,573.959
1960,586.872
1961,604.328
1962,626.795
1963,650.603
1964,689.318
1965,738.843
1966,804.263
1967,871.188
1968,957.886
1969,1055.775
1970,1161.635
1971,1275.119
1972,1385.696
1973,1560.649
1974,1893.965
1975,2083.536
1976,2280.237
1977,2532.629
1978,2870.135
1979,3313.954
1980,3800.29
1981,4300.221
1982,4589.165
1983,4744.723
1984,5040.975
1985,5332.407
1986,5603.761
1987,5919.104
1988,6311.228
1989,6699.84
1990,7071.254
1991,7242.497
1992,7487.351
1993,7838.125
1994,8273.204
1995,8723.558
1996,9152.132
1997,9674.473
1998,10226.721
1999,10849.249
2000,11607.864
2001,12189.396
2002,12616.326
2003,13038.217
2004,14152.545
2005,15429.476
2006,16706.002
2007,17647.597
2008,18787.982
2009,18233.843
2010,18681.707
2011,19549.432
2012,20201.795
2013,21039.791
2014,22022.201
2015,22494.315
2016,23161.992
2017,24066.902
2018,25227.313
2019,26423.854
2020,27010.148
2021,30051.849
2022,33673.661
2023,34771.025
2024,35899.94
