,"Gross Final Product (GFP = TP* - C*_m) — S&T 1994; billions_usd; period=[1948, 1989]; series_status=book_period_validated"
Year,S503-A
1948,247.74
1949,242.9
1950,269.06
1951,307.03
1952,319.61
1953,336.71
1954,335.2
1955,365.74
1956,384.1
1957,402.67
1958,403.67
1959,439.36
1960,451.95
1961,463.88
1962,498.12
1963,523.74
1964,561.05
1965,609.78
1966,665.94
1967,699.15
1968,762.32
1969,819.72
1970,853.88
1971,923.12
1972,1014.08
1973,1142.52
1974,1235.82
1975,1344.71
1976,1507.06
1977,1690.83
1978,1910.87
1979,2122.76
1980,2289.84
1981,2576.06
1982,2649.25
1983,2851.36
1984,3193.77
1985,3395.53
1986,3559.99
1987,3797.93
1988,4103.23
1989,4363.57
