,"Labor Values — S&T 1994; labor_hours_per_dollar; period=[1947, 1977]; series_status=pending_data_sourcing"
Year,S701-A
1947,44.69718165489747
1958,18.399301852052265
1963,18.47703815217319
1967,2.079344184211604
1972,51.858541267564185
1977,51.71750101575981
