year,book,combined
1948,1351420.373905503,1351420.373905503
1949,1564792.1215684856,1564792.1215684856
1950,1692725.6540173143,1692725.6540173143
1951,1997906.3457889075,1997906.3457889075
1952,2134337.528201524,2134337.528201524
1953,2333513.416343019,2333513.416343019
1954,2485437.1952277897,2485437.1952277897
1955,2590971.8762915744,2590971.8762915744
1956,2739543.0712627443,2739543.0712627443
1957,3118485.4725668263,3118485.4725668263
1958,3440516.116642601,3440516.116642601
1959,3853842.585037692,3853842.585037692
1960,4090187.46568402,4090187.46568402
1961,4520384.855507156,4520384.855507156
1962,4698036.84444315,4698036.84444315
1963,4844903.643248267,4844903.643248267
1964,5047044.80559969,5047044.80559969
1965,5196287.098474076,5196287.098474076
1966,5582780.735522388,5582780.735522388
1967,5890923.527832728,5890923.527832728
1968,6410482.213971177,6410482.213971177
1969,6970184.85890613,6970184.85890613
1970,7263419.052018354,7263419.052018354
1971,7979415.1397638945,7979415.1397638945
1972,8184177.749654616,8184177.749654616
1973,8222493.484274464,8222493.484274464
1974,8380623.328443402,8380623.328443402
1975,8555608.630957704,8555608.630957704
1976,8928534.962592036,8928534.962592036
1977,9512558.992312023,9512558.992312023
1978,10262282.560170064,10262282.560170064
1979,10630945.230613677,10630945.230613677
1980,11787337.2214937,11787337.2214937
1981,11983371.84477046,11983371.84477046
1982,12385104.130269635,12385104.130269635
1983,12335709.98489529,12335709.98489529
1984,12518817.767473688,12518817.767473688
1985,12771813.922434092,12771813.922434092
1986,13408841.739173494,13408841.739173494
1987,14096746.884555548,14096746.884555548
1988,14810055.421461578,14810055.421461578
1989,16074207.0296331,16074207.0296331
