year,value,source
1947,0.00044173759806923063,benchmark
1948,0.0007914712550843304,interpolated
1949,0.00114120491209943,interpolated
1950,0.0014909385691145298,interpolated
1951,0.0018406722261296296,interpolated
1952,0.0021904058831447295,interpolated
1953,0.002540139540159829,interpolated
1954,0.0028898731971749286,interpolated
1955,0.0032396068541900285,interpolated
1956,0.0035893405112051285,interpolated
1957,0.003939074168220228,interpolated
1958,0.0042888078252353275,benchmark
1959,0.00350527013201609,interpolated
1960,0.0027217324387968523,interpolated
1961,0.0019381947455776143,interpolated
1962,0.0011546570523583767,interpolated
1963,0.000371119359139139,benchmark
1964,0.03594601806681919,interpolated
1965,0.07152091677449925,interpolated
1966,0.10709581548217931,interpolated
1967,0.14267071418985935,benchmark
1968,0.17691675728544765,interpolated
1969,0.21116280038103596,interpolated
1970,0.24540884347662428,interpolated
1971,0.2796548865722126,interpolated
1972,0.31390092966780087,benchmark
1973,0.28600086039176714,interpolated
1974,0.25810079111573336,interpolated
1975,0.23020072183969964,interpolated
1976,0.20230065256366592,interpolated
1977,0.17440058328763217,benchmark
