year,value,source
1947,-155.3839147085069,benchmark
1948,-169.27245002907924,interpolated
1949,-183.16098534965158,interpolated
1950,-197.0495206702239,interpolated
1951,-210.93805599079624,interpolated
1952,-224.8265913113686,interpolated
1953,-238.7151266319409,interpolated
1954,-252.60366195251325,interpolated
1955,-266.4921972730856,interpolated
1956,-280.38073259365797,interpolated
1957,-294.2692679142303,interpolated
1958,-308.1578032348026,benchmark
1959,-285.7223733461452,interpolated
1960,-263.2869434574878,interpolated
1961,-240.85151356883037,interpolated
1962,-218.41608368017296,interpolated
1963,-195.98065379151555,benchmark
1964,-151.21057218132327,interpolated
1965,-106.44049057113101,interpolated
1966,-61.670408960938744,interpolated
1967,-16.900327350746466,benchmark
1968,-14.7876624405157,interpolated
1969,-12.674997530284935,interpolated
1970,-10.562332620054171,interpolated
1971,-8.449667709823405,interpolated
1972,-6.33700279959264,benchmark
1973,-7.746459608968589,interpolated
1974,-9.155916418344537,interpolated
1975,-10.565373227720485,interpolated
1976,-11.974830037096435,interpolated
1977,-13.384286846472383,benchmark
