year,st_e,mohun_e,ratio,combined
1948,1.7,1.195688656514848,1.4217747995996728,1.4217747995996728
1949,1.713,1.1851127280899332,1.4454321174668945,1.4454321174668945
1950,1.726,1.1914128819584016,1.4487001325374822,1.4487001325374822
1951,1.739,1.1992037681887673,1.4501288656109887,1.4501288656109887
1952,1.752,1.190409613333238,1.471762308012841,1.471762308012841
1953,1.765,1.1741701857334863,1.5031892492632413,1.5031892492632413
1954,1.778,1.1793910930012117,1.5075575952295015,1.5075575952295015
1955,1.791,1.1622191557250996,1.5410174502610128,1.5410174502610128
1956,1.804,1.206952777517299,1.4946732246731531,1.4946732246731531
1957,1.817,1.219855170232378,1.4895210876991798,1.4895210876991798
1958,1.83,1.2241255582989294,1.494944687326851,1.494944687326851
1959,1.86,1.1992060827480524,1.5510261553524636,1.5510261553524636
1960,1.89,1.248798403471587,1.513454849674623,1.513454849674623
1961,1.92,1.2089243127729654,1.5881887556682581,1.5881887556682581
1962,1.95,1.2097849025599925,1.6118567820392358,1.6118567820392358
1963,1.98,1.2593957407183507,1.5721825443610136,1.5721825443610136
1964,2.01,1.2391598455015658,1.622066763458129,1.622066763458129
1965,2.04,1.23547578775227,1.6511857376917276,1.6511857376917276
1966,2.07,1.2339482272489393,1.6775420186104726,1.6775420186104726
1967,2.1,1.2832401379782366,1.6364824773238316,1.6364824773238316
1968,2.1,1.2684498803043691,1.6555640333980697,1.6555640333980697
1969,2.1,1.279143278276893,1.6417238284900078,1.6417238284900078
1970,2.1,1.2837403911841785,1.6358447661391007,1.6358447661391007
1971,2.1,1.247485110729858,1.6833868251712976,1.6833868251712976
1972,2.1,1.29853691654528,1.6172046964879438,1.6172046964879438
1973,2.1,1.2921419517124544,1.6252084356652183,1.6252084356652183
1974,2.1,1.2989941015797293,1.6166355162399535,1.6166355162399535
1975,2.1,1.294272628015343,1.6225329614056443,1.6225329614056443
1976,2.1,1.3104778708096725,1.60246887549694,1.60246887549694
1977,2.1,1.2923842385771802,1.6249037533233501,1.6249037533233501
1978,2.128,1.265885313159328,1.6810369611517595,1.6810369611517595
1979,2.157,1.3699525220871691,1.5745071199356147,1.5745071199356147
1980,2.185,1.298291578393304,1.6829809546358137,1.6829809546358137
1981,2.213,1.329388610236865,1.6646750114744076,1.6646750114744076
1982,2.242,1.3081014911360112,1.713934289649767,1.713934289649767
1983,2.27,1.3541626662722954,1.6763126443655387,1.6763126443655387
1984,2.298,1.3558153272265945,1.6949210957075573,1.6949210957075573
1985,2.327,1.3505157649386814,1.7230454174710466,1.7230454174710466
1986,2.355,1.3597080183805546,1.7319894919828909,1.7319894919828909
1987,2.383,1.3397057210812051,1.7787488420045021,1.7787488420045021
1988,2.412,1.382463430937923,1.7447116111878598,1.7447116111878598
1989,2.44,1.3523278998418728,1.8042961328279246,1.8042961328279246
