year,book,ext,combined
1948,0.57,0.57,0.57
1949,0.565,0.565,0.565
1950,0.56,0.56,0.56
1951,0.555,0.555,0.555
1952,0.55,0.55,0.55
1953,0.545,0.545,0.545
1954,0.54,0.54,0.54
1955,0.535,0.535,0.535
1956,0.53,0.53,0.53
1957,0.525,0.525,0.525
1958,0.52,0.52,0.52
1959,0.519,0.519,0.519
1960,0.518,0.518,0.518
1961,0.517,0.517,0.517
1962,0.516,0.516,0.516
1963,0.514,0.514,0.514
1964,0.513,0.513,0.513
1965,0.512,0.512,0.512
1966,0.511,0.511,0.511
1967,0.51,0.51,0.51
1968,0.509,0.509,0.509
1969,0.508,0.508,0.508
1970,0.507,0.507,0.507
1971,0.506,0.506,0.506
1972,0.505,0.505,0.505
1973,0.504,0.504,0.504
1974,0.503,0.503,0.503
1975,0.502,0.502,0.502
1976,0.501,0.501,0.501
1977,0.5,0.5,0.5
1978,0.488,0.488,0.488
1979,0.477,0.477,0.477
1980,0.465,0.465,0.465
1981,0.453,0.453,0.453
1982,0.442,0.442,0.442
1983,0.43,0.43,0.43
1984,0.418,0.418,0.418
1985,0.407,0.407,0.407
1986,0.395,0.395,0.395
1987,0.383,0.383,0.383
1988,0.372,0.372,0.372
1989,0.36,0.36,0.36
1990,,0.35,0.35
1991,,0.348,0.348
1992,,0.346,0.346
1993,,0.344,0.344
1994,,0.342,0.342
1995,,0.34,0.34
1996,,0.336,0.336
1997,,0.332,0.332
1998,,0.328,0.328
1999,,0.324,0.324
2000,,0.32,0.32
2001,,0.318,0.318
2002,,0.316,0.316
2003,,0.314,0.314
2004,,0.312,0.312
2005,,0.31,0.31
2006,,0.308,0.308
2007,,0.306,0.306
2008,,0.304,0.304
2009,,0.302,0.302
2010,,0.3,0.3
2011,,0.298,0.298
2012,,0.296,0.296
2013,,0.294,0.294
2014,,0.292,0.292
2015,,0.29,0.29
2016,,0.288,0.288
2017,,0.286,0.286
2018,,0.284,0.284
2019,,0.282,0.282
2020,,0.28,0.28
2021,,0.278,0.278
2022,,0.275,0.275
2023,,0.273,0.273
2024,,0.27,0.27
