year,book,combined
1929,,64.63324535893236
1930,,56.97042630053948
1931,,47.840692945150295
1932,,36.79463665647473
1933,,35.3308132029192
1934,,41.29366836888061
1935,,45.89346157745607
1936,,52.43924981634944
1937,,57.49154250465574
1938,,53.99827124788113
1939,,57.759827715315836
1940,,63.608939842656376
1941,,79.93477489687999
1942,,102.5863301370131
1943,,125.54016986565495
1944,,138.7461075507507
1945,,140.94678808058924
1946,,140.6550124597792
1947,,154.3047952629716
1948,198.47,198.47
1949,189.06,189.06
1950,212.56,212.56
1951,244.59,244.59
1952,254.35,254.35
1953,268.66,268.66
1954,261.36,261.36
1955,287.18,287.18
1956,303.11,303.11
1957,314.63,314.63
1958,308.0,308.0
1959,334.93,334.93
1960,343.72,343.72
1961,347.54,347.54
1962,,373.32567048908857
1963,,394.05163026561297
1964,,423.11174029586863
1965,,458.8598173632937
1966,,502.8270653084529
1967,,531.5997268987156
1968,,581.4809946834719
1969,,629.0577295987791
1970,,663.4823075048603
1971,,720.0737963995596
1972,,790.7057507083665
1973,,881.122812050323
1974,,955.2208381936255
1975,,1041.5548953503057
1976,,1158.0846384173858
1977,,1286.919647390917
1978,,1453.6848689010671
1979,,1624.1349939613203
1980,,1766.2977198515143
1981,,1982.4923278353779
1982,,2067.025659603457
1983,,2246.448503172308
1984,,2495.925931495227
1985,,2682.2209563703177
1986,,2830.984487512651
1987,,3001.3418872696807
1988,,3237.002009074917
1989,,3487.448107732178
1990,,3686.228903770662
1991,,3806.762525430934
1992,,4030.6619879439854
1993,,4239.746419676669
1994,,4504.741118409702
1995,,4722.6536171779535
1996,,4990.551236070572
1997,,5302.374067437554
1998,,5602.34969589601
1999,,5953.688960653422
2000,,6336.817550199303
2001,,6541.417168099408
2002,,6756.032355085031
2003,,7082.018667435064
2004,,7552.28802427567
2005,,8060.423304109326
2006,,8540.360819232705
2007,,8947.514534843804
2008,,9130.26621679838
2009,,8949.887684437637
2010,,9302.802661181162
2011,,9643.265866039143
2012,,10047.695312241533
2013,,10435.109665302405
2014,,10884.79956834558
2015,,11309.407895035476
2016,,11624.608400114548
2017,,12123.587365339225
2018,,12769.21139761192
2019,,13315.34241586314
2020,,13213.52941475501
2021,,14666.450845326204
2022,,16106.146556814281
2023,,17192.208979543197
2024,,18111.114261813666
2025,,19026.60478025076
