year,book,combined
1948,1.5119999999999998,1.5119999999999998
1949,1.475,1.475
1950,1.586,1.586
1951,1.638,1.638
1952,1.602,1.602
1953,1.625,1.625
1954,1.5719999999999998,1.5719999999999998
1955,1.671,1.671
1956,1.642,1.642
1957,1.6230000000000002,1.6230000000000002
1958,1.585,1.585
1959,1.638,1.638
1960,1.624,1.624
1961,1.618,1.618
1962,1.672,1.672
1963,1.705,1.705
1964,1.7480000000000002,1.7480000000000002
1965,1.794,1.794
1966,1.797,1.797
1967,1.7719999999999998,1.7719999999999998
1968,1.774,1.774
1969,1.735,1.735
1970,1.675,1.675
1971,1.682,1.682
1972,1.724,1.724
1973,1.7080000000000002,1.7080000000000002
1974,1.587,1.587
1975,1.612,1.612
1976,1.665,1.665
1977,1.6840000000000002,1.6840000000000002
1978,1.652,1.652
1979,1.57,1.57
1980,1.505,1.505
1981,1.524,1.524
1982,1.504,1.504
1983,1.5419999999999998,1.5419999999999998
1984,1.6030000000000002,1.6030000000000002
1985,1.592,1.592
1986,1.588,1.588
1987,1.594,1.594
1988,1.605,1.605
1989,1.5619999999999998,1.5619999999999998
1990,,1.538
1991,,1.506
1992,,1.5419999999999998
1993,,1.568
1994,,1.602
1995,,1.615
1996,,1.643
1997,,1.662
1998,,1.685
1999,,1.702
2000,,1.638
2001,,1.585
2002,,1.568
2003,,1.602
2004,,1.663
2005,,1.6840000000000002
2006,,1.695
2007,,1.642
2008,,1.536
2009,,1.504
2010,,1.585
2011,,1.6230000000000002
2012,,1.648
2013,,1.672
2014,,1.695
2015,,1.6880000000000002
2016,,1.665
2017,,1.702
2018,,1.725
2019,,1.6840000000000002
2020,,1.5519999999999998
2021,,1.685
2022,,1.724
2023,,1.686
2024,,1.668
