year,book,combined
1929,,86.26940742677544
1930,,76.04143797057678
1931,,63.855500498924776
1932,,49.11174556081457
1933,,47.15790305740392
1934,,55.116840890131606
1935,,61.256427912039825
1936,,69.99343731601593
1937,,76.7369993009717
1938,,72.07434559034095
1939,,77.09509374627585
1940,,84.90221273583312
1941,,106.69316734523994
1942,,136.92739490118444
1943,,167.5650975349025
1944,,185.19176028843367
1945,,188.12912486281792
1946,,187.73967652598944
1947,,205.95876280884866
1948,247.74,247.74
1949,242.9,242.9
1950,269.06,269.06
1951,307.03,307.03
1952,319.61,319.61
1953,336.71,336.71
1954,335.26,335.26
1955,365.74,365.74
1956,384.1,384.1
1957,402.67,402.67
1958,403.67,403.67
1959,439.36,439.36
1960,451.95,451.95
1961,463.88,463.88
1962,,498.29749676721644
1963,,525.9615303205748
1964,,564.7495945458006
1965,,612.4644417289655
1966,,671.1498505360106
1967,,709.5542421412678
1968,,776.1334056907663
1969,,839.6365874612466
1970,,885.5848903877384
1971,,961.1205405818832
1972,,1055.3967417810813
1973,,1176.0811706678478
1974,,1274.983721071701
1975,,1390.2183485500943
1976,,1545.7567533781921
1977,,1717.7196467505855
1978,,1940.3099988082724
1979,,2167.8187863232356
1980,,2357.5708876236417
1981,,2646.137253370188
1982,,2758.968357532519
1983,,2998.4535065073665
1984,,3331.4442110318405
1985,,3580.1020234823704
1986,,3778.664568301112
1987,,4006.049590454795
1988,,4320.597605943697
1989,,4654.881245942345
1990,,4920.204476840463
1991,,5081.087069968641
1992,,5379.937512135167
1993,,5659.013549978745
1994,,6012.715975162262
1995,,6303.575300502126
1996,,6661.152406596123
1997,,7077.358814533385
1998,,7477.752134811076
1999,,7946.7032142139315
2000,,8458.085184975695
2001,,8731.175104845352
2002,,9017.63333393809
2003,,9452.744488259705
2004,,10080.437845142998
2005,,10758.672850061099
2006,,11399.27080861388
2007,,11942.720384483351
2008,,12186.648709928158
2009,,11945.887952629715
2010,,12416.942218071927
2011,,12871.37644569902
2012,,13411.189795254078
2013,,13928.292201014214
2014,,14528.517073614972
2015,,15095.264241091836
2016,,15515.979008589333
2017,,16181.992596632213
2018,,17043.741103539785
2019,,17772.691027998484
2020,,17636.79583621038
2021,,19576.08683354411
2022,,21497.724764847237
2023,,22947.349661709435
2024,,24173.861091586936
2025,,25395.814655759692
