year,book,combined
1948,18400.170694142387,18400.170694142387
1949,20095.911552249705,20095.911552249705
1950,21094.430689511373,21094.430689511373
1951,22861.55230433821,22861.55230433821
1952,23543.64269249179,23543.64269249179
1953,24193.39947302131,24193.39947302131
1954,24576.769333526503,24576.769333526503
1955,24864.79705655845,24864.79705655845
1956,25487.07547216768,25487.07547216768
1957,27356.19312289422,27356.19312289422
1958,29165.10818728672,29165.10818728672
1959,31478.52589708225,31478.52589708225
1960,32410.483800344755,32410.483800344755
1961,34181.83232271453,34181.83232271453
1962,34491.41891805189,34491.41891805189
1963,34311.19732511231,34311.19732511231
1964,34689.76425034491,34689.76425034491
1965,34775.78988473813,34775.78988473813
1966,36059.2038232165,36059.2038232165
1967,37221.89288615575,37221.89288615575
1968,39314.74501886334,39314.74501886334
1969,41572.29311489075,41572.29311489075
1970,42650.70281741397,42650.70281741397
1971,45118.693136514754,45118.693136514754
1972,44802.57954896301,44802.57954896301
1973,44238.59470586346,44238.59470586346
1974,44123.24319821582,44123.24319821582
1975,44130.865528670576,44130.865528670576
1976,44916.83421552428,44916.83421552428
1977,46920.47432800207,46920.47432800207
1978,49684.91977513536,49684.91977513536
1979,50430.81632620099,50430.81632620099
1980,54044.43336604109,54044.43336604109
1981,54338.04208151314,54338.04208151314
1982,54942.99064969256,54942.99064969256
1983,53677.29886109578,53677.29886109578
1984,53132.285859987576,53132.285859987576
1985,53202.88780198007,53202.88780198007
1986,54414.2669356988,54414.2669356988
1987,56452.902627558666,56452.902627558666
1988,58472.30262289827,58472.30262289827
1989,61837.68523795661,61837.68523795661
