year,book,combined
1948,1673.13603,1673.13603
1949,1930.38074,1930.38074
1950,2109.77521,2109.77521
1951,2530.99844,2530.99844
1952,2702.33027,2702.33027
1953,2956.86756,2956.86756
1954,3175.84351,3175.84351
1955,3296.17155,3296.17155
1956,3585.52063,3585.52063
1957,4145.32363,4145.32363
1958,4611.54189,4611.54189
1959,5143.686360000001,5143.686360000001
1960,5621.6113,5621.6113
1961,6129.09932,6129.09932
1962,6401.61038,6401.61038
1963,6787.85833,6787.85833
1964,7045.30407,7045.30407
1965,7276.15299,7276.15299
1966,7855.28479,7855.28479
1967,8509.25535,8509.25535
1968,9244.01192,9244.01192
1969,10170.23296,10170.23296
1970,10663.56866,10663.56866
1971,11597.1378,11597.1378
1972,12203.34496,12203.34496
1973,12333.98611,12333.98611
1974,12638.20793,12638.20793
1975,12931.95134,12931.95134
1976,13670.18433,13670.18433
1977,14541.3208,14541.3208
1978,15553.98696,15553.98696
1979,16931.82968,16931.82968
1980,18290.05961,18290.05961
1981,18971.3117,18971.3117
1982,19526.42745,19526.42745
1983,19932.48204,19932.48204
1984,20373.13013,20373.13013
1985,20810.84108,20810.84108
1986,22098.3084,22098.3084
1987,23144.98657,23144.98657
1988,24850.63404,24850.63404
1989,26804.8101,26804.8101
1990,,-4002.182747965715
1991,,-2151.4945444331997
1992,,-482.86977149736686
1993,,906.5598512094684
1994,,2160.326656141044
1995,,3180.7877036125333
1996,,4129.7876955743595
1997,,5025.407760741349
1998,,5814.418870811076
1999,,6196.234246213931
2000,,6586.998464975694
2001,,6810.980440845351
2002,,7078.93699393809
2003,,7457.712204259705
2004,,7983.957589142998
2005,,8568.179680061101
2006,,9095.530600613878
2007,,9531.90703448335
2008,,9737.373605928158
2009,,9602.664214629716
2010,,10039.33151807193
2011,,10419.97629569902
2012,,10875.250347254077
2013,,11330.790735014214
2014,,11827.456337614973
2015,,12282.432731091836
2016,,12645.739904589333
2017,,13200.622204632211
2018,,13931.838367539785
2019,,14544.746725998484
2020,,14389.317196210377
2021,,16084.858861544108
2022,,17800.796089847237
2023,,19068.731372709433
2024,,20116.555161586937
