year,book,combined
1929,,150.9026527857078
1930,,133.01186427111625
1931,,111.69619344407506
1932,,85.90638221728929
1933,,82.48871626032312
1934,,96.41050925901222
1935,,107.14988948949589
1936,,122.43268713236536
1937,,134.22854180562743
1938,,126.07261683822207
1939,,134.8549214615917
1940,,148.5111525784895
1941,,186.6279422421199
1942,,239.51372503819752
1943,,293.1052674005574
1944,,323.9378678391843
1945,,329.07591294340716
1946,,328.3946889857686
1947,,360.2635580718202
1948,446.21,446.21
1949,431.96,431.96
1950,481.62,481.62
1951,551.62,551.62
1952,573.95,573.95
1953,605.37,605.37
1954,596.63,596.63
1955,652.91,652.91
1956,687.21,687.21
1957,717.3,717.3
1958,711.67,711.67
1959,774.29,774.29
1960,795.67,795.67
1961,811.42,811.42
1962,,871.623167256305
1963,,920.0131605861876
1964,,987.8613348416691
1965,,1071.3242590922591
1966,,1173.9769158444635
1967,,1241.1539690399832
1968,,1357.614400374238
1969,,1468.6943170600257
1970,,1549.0671978925986
1971,,1681.1943369814428
1972,,1846.1024924894477
1973,,2057.2039827181707
1974,,2230.204559265326
1975,,2431.7732439004
1976,,2703.8413917955777
1977,,3004.6392941415024
1978,,3393.9948677093394
1979,,3791.9537802845557
1980,,4123.868607475156
1981,,4628.629581205566
1982,,4825.994017135976
1983,,5244.902009679674
1984,,5827.3701425270665
1985,,6262.322979852688
1986,,6609.649055813763
1987,,7007.391477724475
1988,,7557.599615018614
1989,,8142.329353674522
1990,,8606.433380611124
1991,,8887.849595399575
1992,,9410.599500079152
1993,,9898.759969655412
1994,,10517.457093571962
1995,,11026.228917680079
1996,,11651.703642666695
1997,,12379.732881970938
1998,,12888.608002164994
1999,,13626.109949196238
2000,,14612.177820322268
2001,,14635.90901583132
2002,,14643.49321233421
2003,,15305.887148836811
2004,,16482.416212785472
2005,,17880.599535818666
2006,,18952.66240922749
2007,,19885.885556333367
2008,,20504.97617731945
2009,,18204.15114469205
2010,,19642.33498799049
2011,,21186.575256579377
2012,,22092.27510992476
2013,,23004.458228022617
2014,,24047.774550170478
2015,,23987.467955397482
2016,,24247.41017424661
2017,,25427.119707696485
2018,,27017.599109803003
2019,,27579.8082570174
2020,,26007.800043167917
2021,,30536.299309894835
2022,,34678.616183724494
2023,,35546.51738030546
2024,,36793.99537928117
2025,,44422.419436010445
