year,nsw_gdp,post_2000,combined
1997,-0.006208515227107369,0,-0.006208515227107369
1998,-0.01044919528889437,0,-0.01044919528889437
1999,-0.012035187050609606,0,-0.012035187050609606
2000,-0.014034624202043412,0,-0.014034624202043412
2001,-0.007685869363763934,1,-0.007685869363763934
2002,0.004845690473458574,1,0.004845690473458574
2003,0.008782768225533371,1,0.008782768225533371
2004,0.008535937406346967,1,0.008535937406346967
2005,0.005026435183413485,1,0.005026435183413485
2006,0.003781500872600349,1,0.003781500872600349
2007,0.003966556572686788,1,0.003966556572686788
2008,0.013421015433914647,1,0.013421015433914647
2009,0.033888205999366976,1,0.033888205999366976
2010,0.036176623425668915,1,0.036176623425668915
2011,0.03198300909437689,1,0.03198300909437689
2012,0.028174800391349265,1,0.028174800391349265
2013,0.019905340125309326,1,0.019905340125309326
2014,0.01830494375025554,1,0.01830494375025554
2015,0.017512851376966485,1,0.017512851376966485
2016,0.01812681887403832,1,0.01812681887403832
2017,0.01624465810416008,1,0.01624465810416008
2018,0.016670843320686492,1,0.016670843320686492
2019,0.017303327314249297,1,0.017303327314249297
2020,0.04936377898710595,1,0.04936377898710595
2021,0.04314645270633682,1,0.04314645270633682
2022,0.01630371026706028,1,0.01630371026706028
2023,0.023026837493793813,1,0.023026837493793813
2024,0.024336250359700884,1,0.024336250359700884
