year,n_sectors,sparsity,max_eigenvalue,condition_number,leontief_max_dev,n_productive,n_unproductive
1947,85,0.3618,0.991792,351.32,10.57217126,75,7
1958,85,0.3604,0.958412,71.77,0.0,75,7
1963,85,0.3665,0.958783,72.45,1.91478701,75,7
1967,85,0.3954,0.50483,3.65,1.01337657,75,7
1972,85,0.4051,0.988338,263.09,9.31774295,75,7
1977,85,0.4275,0.986668,220.0,7.03204499,75,7
