year,book,combined
1952,0.054672581158497775,0.054672581158497775
1953,0.05423587075193384,0.05423587075193384
1954,0.06419661995246079,0.06419661995246079
1955,0.0639889665222426,0.0639889665222426
1956,0.062553404874135,0.062553404874135
1957,0.06905429285235513,0.06905429285235513
1958,0.08397627233913929,0.08397627233913929
1959,0.08017730881051258,0.08017730881051258
1960,0.08107991489728926,0.08107991489728926
1961,0.09048649902390937,0.09048649902390937
1962,0.08682367956845534,0.08682367956845534
1963,0.0865876349855026,0.0865876349855026
1964,0.08329543187711949,0.08329543187711949
1965,0.08365008694794222,0.08365008694794222
1966,0.08348154364283503,0.08348154364283503
1967,0.09496253554453185,0.09496253554453185
1968,0.10043504392832044,0.10043504392832044
1969,0.10090203231027722,0.10090203231027722
1970,0.11508357303396022,0.11508357303396022
1971,0.12844006345912376,0.12844006345912376
1972,0.1296372514299232,0.1296372514299232
1973,0.13366589432780063,0.13366589432780063
1974,0.1448167486186445,0.1448167486186445
1975,0.1722221635716774,0.1722221635716774
1976,0.16945057314038195,0.16945057314038195
1977,0.1625303969292132,0.1625303969292132
1978,0.1544899811279917,0.1544899811279917
1979,0.15389197762570647,0.15389197762570647
1980,0.1673592245817067,0.1673592245817067
1981,0.17171810713937044,0.17171810713937044
1982,0.18123723245269505,0.18123723245269505
1983,0.1840998882478364,0.1840998882478364
1984,0.17190027221788984,0.17190027221788984
1985,0.16885517005651515,0.16885517005651515
