year,GFP,GDP,CFC,NDP,FP_star,GFP_GDP_ratio,FP_NDP_ratio
1929,86.26940742677544,104556000000.0,10409000000.0,94148000000.0,-10408999913.730593,8.251024085349042e-10,-0.11055996849354838
1930,76.04143797057678,92160000000.0,10217000000.0,81943000000.0,-10216999923.958563,8.251024085349043e-10,-0.12468423079407104
1931,63.855500498924776,77391000000.0,9514000000.0,67877000000.0,-9513999936.144499,8.251024085349043e-10,-0.1401652980559615
1932,49.11174556081457,59522000000.0,8338000000.0,51184000000.0,-8337999950.888254,8.251024085349042e-10,-0.1629024685622119
1933,47.15790305740392,57154000000.0,8012000000.0,49142000000.0,-8011999952.842097,8.251024085349043e-10,-0.1630377264425969
1934,55.116840890131606,66800000000.0,8430000000.0,58370000000.0,-8429999944.883159,8.251024085349043e-10,-0.14442350428102035
1935,61.25642791203983,74241000000.0,8480000000.0,65761000000.0,-8479999938.743572,8.251024085349044e-10,-0.1289518094120158
1936,69.99343731601593,84830000000.0,8801000000.0,76029000000.0,-8800999930.006563,8.251024085349043e-10,-0.11575845966679245
1937,76.7369993009717,93003000000.0,9767000000.0,83236000000.0,-9766999923.263,8.251024085349043e-10,-0.11734105342956173
1938,72.07434559034095,87352000000.0,10042000000.0,77310000000.0,-10041999927.925653,8.251024085349043e-10,-0.12989263908841875
1939,77.09509374627585,93437000000.0,10103000000.0,83334000000.0,-10102999922.904905,8.251024085349043e-10,-0.12123502919462531
1940,84.90221273583312,102899000000.0,10577000000.0,92322000000.0,-10576999915.097788,8.251024085349043e-10,-0.11456640795365988
1941,106.69316734523994,129309000000.0,12062000000.0,117247000000.0,-12061999893.306833,8.251024085349043e-10,-0.10287683175950628
1942,136.92739490118444,165952000000.0,14911000000.0,151041000000.0,-14910999863.072605,8.251024085349043e-10,-0.09872153827816689
1943,167.5650975349025,203084000000.0,18031000000.0,185054000000.0,-18030999832.434902,8.251024085349043e-10,-0.09743642305724222
1944,185.19176028843367,224447000000.0,21341000000.0,203106000000.0,-21340999814.80824,8.251024085349043e-10,-0.10507321209027916
1945,188.12912486281792,228007000000.0,23107000000.0,204901000000.0,-23106999811.870876,8.251024085349043e-10,-0.11277153265172389
1946,187.73967652598944,227535000000.0,25690000000.0,201844000000.0,-25689999812.260323,8.251024085349043e-10,-0.1272765096423987
1947,205.95876280884863,249616000000.0,29121000000.0,220496000000.0,-29120999794.041237,8.251024085349042e-10,-0.13207042211215278
1948,247.74,274468000000.0,31326000000.0,243143000000.0,-31325999752.26,9.026188845329875e-10,-0.12883776112106868
1949,242.9,272475000000.0,32284000000.0,240191000000.0,-32283999757.1,8.914579319203597e-10,-0.1344096979366421
1950,269.06,299827000000.0,33394000000.0,266433000000.0,-33393999730.94,8.973841581978942e-10,-0.1253373258227772
1951,307.03,346914000000.0,37726000000.0,309189000000.0,-37725999692.97,8.850320252281544e-10,-0.1220159827580218
1952,319.61,367341000000.0,40606000000.0,326735000000.0,-40605999680.39,8.700635104711971e-10,-0.1242780837081733
1953,336.71,389218000000.0,43488000000.0,345730000000.0,-43487999663.29,8.650935979322641e-10,-0.1257860170170075
1954,335.26,390549000000.0,45981000000.0,344569000000.0,-45980999664.74,8.584326166498953e-10,-0.13344496941030679
1955,365.74,425478000000.0,48893000000.0,376586000000.0,-48892999634.26,8.595979110553308e-10,-0.12983222858592725
1956,384.1,449353000000.0,54127000000.0,395226000000.0,-54126999615.9,8.547845457802663e-10,-0.1369520214153421
1957,402.67,474039000000.0,58919000000.0,415120000000.0,-58918999597.33,8.494448768983143e-10,-0.1419324522965167
1958,403.67,481229000000.0,62454000000.0,418775000000.0,-62453999596.33,8.388314087471869e-10,-0.14913497605236703
1959,439.36,521654000000.0,65445000000.0,456209000000.0,-65444999560.64,8.422440928278131e-10,-0.1434539861349513
1960,451.95,542382000000.0,67901000000.0,474481000000.0,-67900999548.05,8.332688031682467e-10,-0.14310583468684732
