year,book,combined
1952,0.019919293319458305,0.019919293319458305
1953,0.01811075037035361,0.01811075037035361
1954,0.023045558171165305,0.023045558171165305
1955,0.01854268729608505,0.01854268729608505
1956,0.023778445458873258,0.023778445458873258
1957,0.0181754480835327,0.0181754480835327
1958,0.023247125526207803,0.023247125526207803
1959,0.018450997991108106,0.018450997991108106
1960,0.021408749676903205,0.021408749676903205
1961,0.01962476156478144,0.01962476156478144
1962,0.02540901840157452,0.02540901840157452
1963,0.024330341851215645,0.024330341851215645
1964,0.019028303004614142,0.019028303004614142
1965,0.02488527547807238,0.02488527547807238
1966,0.02763300028866921,0.02763300028866921
1967,0.0237506459719095,0.0237506459719095
1968,0.020927481070647926,0.020927481070647926
1969,0.025096937391932157,0.025096937391932157
1970,0.01938031870607705,0.01938031870607705
1971,0.024329729320019606,0.024329729320019606
1972,0.024707075032119247,0.024707075032119247
1973,0.021998605351526045,0.021998605351526045
1974,0.02634803444861676,0.02634803444861676
1975,0.02021902223015258,0.02021902223015258
1976,0.02006331340622283,0.02006331340622283
1977,0.02082165313993487,0.02082165313993487
1978,0.023151208497915958,0.023151208497915958
1979,0.024130867763655743,0.024130867763655743
1980,0.022773825844017822,0.022773825844017822
