year,book,combined
1948,0.5698,0.5698
1949,0.5674,0.5674
1950,0.5691,0.5691
1951,0.5712,0.5712
1952,0.5708,0.5708
1953,0.567,0.567
1954,0.5678,0.5678
1955,0.5631,0.5631
1956,0.5707,0.5707
1957,0.5769,0.5769
1958,0.5751,0.5751
1959,0.571,0.571
1960,0.5796,0.5796
1961,0.5727,0.5727
1962,0.5744,0.5744
1963,0.5823,0.5823
1964,0.5788,0.5788
1965,0.5796,0.5796
1966,0.578,0.578
1967,0.5862,0.5862
1968,0.5818,0.5818
1969,0.5888,0.5888
1970,0.5885,0.5885
1971,0.5775,0.5775
1972,0.5898,0.5898
1973,0.5884,0.5884
1974,0.5882,0.5882
1975,0.5889,0.5889
1976,0.5927,0.5927
1977,0.5882,0.5882
1978,0.5834,0.5834
1979,0.6025,0.6025
1980,0.5893,0.5893
1981,0.5927,0.5927
1982,0.589,0.589
1983,0.5991,0.5991
1984,0.5974,0.5974
1985,0.5977,0.5977
1986,0.5995,0.5995
1987,0.5962,0.5962
1988,0.6035,0.6035
1989,0.5991,0.5991
1993,,0.1601975049543526
1994,,0.3592929825830904
1995,,0.50460057221164
1996,,0.6199809647779398
1997,,0.7100682461403051
1998,,0.7775623965580903
1999,,0.7797238778379176
2000,,0.7787812868894182
2001,,0.7800760331865991
2002,,0.7850105157077447
2003,,0.7889467671026307
2004,,0.7920248814380483
2005,,0.7963974552876604
2006,,0.7979045987521259
2007,,0.7981353265934064
2008,,0.7990197992656802
2009,,0.8038468343841971
2010,,0.8085188238582953
2011,,0.8095463868730887
2012,,0.8109086899286585
2013,,0.8135089766561001
2014,,0.8140855861397337
2015,,0.8136613268191092
2016,,0.8150139863935693
2017,,0.815759995303639
2018,,0.8174166858616684
2019,,0.8183761650436162
2020,,0.8158691255396544
2021,,0.8216585366786535
2022,,0.8280316305358433
2023,,0.8309775051943377
2024,,0.8321614443539582
