document_id,source_pdf,hdarp_status,total_pages,relevant_pages,chunks_created,quality_score,completion_date
turkstat_indicators_1923_2011,turkstat_statistical_indicators_1923_2011.pdf,PREPARED,778,264,27,,
turkstat_yearbook_2012,turkstat_yearbook_2012.pdf,PREPARED,443,133,14,,
