Table 11.38 - Quarterly Industrial Employment Index - Manufacturing Industry Part 4 and Utilities
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 337
Base year: 2005=100
Unit: Index (2005=100)
Year,Electrical_Equipment,Machinery_Equipment_NEC,Motor_Vehicles_Trailers_Semi_Trailers,Other_Transport_Equipment,Furniture_Manufacture,Other_Manufacturing,Repair_Installation_Machinery,Electricity_Gas_Steam_Air_Conditioning,Water_Collection_Treatment_Supply
2005,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006,108.2,104.4,106.0,103.6,106.2,100.6,121.4,98.2,111.4
2007,116.3,109.9,114.6,106.4,107.4,109.8,132.5,96.3,116.5
2008,123.0,115.6,122.2,116.5,105.1,109.5,139.8,92.1,118.4
2009,118.0,100.1,98.3,102.6,94.9,98.4,107.6,85.5,116.5
2010,128.9,105.4,103.9,93.3,100.1,95.7,101.5,80.4,112.4
2011,139.4,120.7,116.2,93.7,108.2,99.7,121.7,75.8,111.8
