Table 11.38 - Quarterly Industrial Employment Index - Manufacturing Industry Part 3
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 336
Base year: 2005=100
Unit: Index (2005=100)
Year,Basic_Pharmaceutical_Products,Rubber_and_Plastic_Products,Other_Non_Metallic_Mineral_Products,Basic_Metals,Fabricated_Metal_Products,Computer_Electronic_Optical_Products
2005,100.0,100.0,100.0,100.0,100.0,100.0
2006,102.1,106.7,106.8,103.7,106.9,101.4
2007,110.9,113.3,110.3,111.2,111.1,96.9
2008,116.5,115.7,107.1,115.0,112.1,88.0
2009,114.4,106.1,93.4,104.5,104.1,79.9
2010,114.4,116.4,98.2,109.2,110.4,81.7
2011,121.3,124.9,102.1,118.6,117.2,86.3
