Table,11.44,Some basic indicators by type of broadcasting,NACE Rev.2 60 - Programming and broadcasting activities
Source,TurkStat Radio and Television Institution Statistics
Notes,"A=All type of broadcasting; B=National; C=Regional; D=Local. Values in Million TL (current). Ücretle çalışanlara yapılan yıllık brüt ödemeler = Annual gross payments to employees (compensation of employees)."
Unit,Million TL (current prices)
Year,Economic_Activity,Type,Gross_Payments_to_Employees,Input,Output,Value_Added
1995,Total,A,5423137,30847486,54271677,23424191
1995,Total,B,4589554,14082652,27398927,13316275
1995,Total,C,85270,308437,1292736,984299
1995,Total,D,748313,16456397,25580014,9123617
1995,Radio,A,776515,16325988,26611869,10285881
1995,Radio,B,75370,1514247,2134326,620079
1995,Radio,C,77301,281849,1247791,965942
1995,Radio,D,623844,14529892,23229752,8699860
1995,Radio-Television,A,3842248,5306825,12102131,6795306
1995,Radio-Television,B,3833792,5274581,12038024,6763443
1995,Radio-Television,C,3402,20844,31180,10336
1995,Radio-Television,D,5054,11400,32927,21527
1995,Television,A,804374,9214673,15557677,6343004
1995,Television,B,680392,7293824,13226577,5932753
1995,Television,C,4567,5744,13765,8021
1995,Television,D,119415,1915105,2317335,402230
1996,Total,A,10232117,58391132,96152238,37761106
1996,Total,B,8434437,43559064,71377610,27818546
1996,Total,C,324784,1665257,3907393,2242136
1996,Total,D,1472896,13166811,20867235,7700424
1996,Radio,A,1252364,17876248,29439929,11563681
1996,Radio,B,279873,4505902,7258388,2752486
1996,Radio,C,298665,1554315,3739846,2185531
1996,Radio,D,673826,11816031,18441695,6625664
1996,Radio-Television,A,6771169,20378420,29834574,9456154
1996,Radio-Television,B,6394881,19380926,28288737,8907811
1996,Radio-Television,C,10610,86930,124282,37352
1996,Radio-Television,D,365678,910564,1421555,510991
1996,Television,A,2208584,20136464,36877735,16741271
1996,Television,B,1759683,19672236,35830485,16158249
1996,Television,C,15509,24012,43265,19253
1996,Television,D,433392,440216,1003985,563769
1997,Total,A,29947914,155889380,274721559,118832179
1997,Total,B,24068071,130105717,231946200,101840483
1997,Total,C,894664,3848618,9495970,5647352
1997,Total,D,4985179,21935045,33279389,11344344
1997,Radio,A,4781615,26564324,44690687,18126363
1997,Radio,B,416163,4352600,7625855,3273255
1997,Radio,C,678483,3392539,8396643,5004104
1997,Radio,D,3686969,18819185,28668189,9849004
1997,Radio-Television,A,17614781,68278136,99760538,31482402
1997,Radio-Television,B,16742021,65514456,96191443,30676987
1997,Radio-Television,C,124840,257850,493555,235705
1997,Radio-Television,D,747920,2505830,3075540,569710
1997,Television,A,7551518,61046920,130270334,69223414
1997,Television,B,6909887,60238661,128128902,67890241
1997,Television,C,91341,198229,605772,407543
1997,Television,D,550290,610030,1535660,925630
