table_number,table_name,source_chunk,pages,unit,price_base
20.25,Growth rate of Gross Domestic Product by expenditure approach [At 1987 prices],chunk_025,"754-756",Percent (%),1987

Year,Private_Final_Consumption_Total_pct,Private_Food_Beverages_pct,Private_Durable_Goods_pct,Private_SemiDurable_NonDurable_pct,Private_Energy_Transport_Communication_pct,Private_Services_pct,Private_Ownership_Dwelling_pct,GFCF_General_Total_pct,GFCF_PublicSector_Total_pct,GFCF_Public_MachineryEquipment_pct,GFCF_Public_BuildingConstruction_pct,GFCF_Public_OtherConstruction_pct,GFCF_PrivateSector_Total_pct,GFCF_Private_MachineryEquipment_pct,GFCF_Private_BuildingConstruction_pct,Govt_Final_Consumption_Total_pct,Govt_Wages_Salaries_pct,Govt_Other_Current_pct,Exports_Goods_Services_pct,Imports_Goods_Services_pct,GDP_pct
1981,-0.8,-,-,-,-,-,-,3.8,21.5,11.9,28.0,32.0,-14.0,7.4,-18.4,7.4,2.2,36.1,69.5,12.3,4.9
1982,5.9,-,-,-,-,-,-,-5.1,-4.9,0.4,-13.0,-7.0,-5.3,28.3,-14.4,-2.9,0.0,-14.7,36.9,6.9,3.6
1983,5.7,-,-,-,-,-,-,8.3,4.3,2.6,3.4,7.2,13.9,34.2,5.7,14.9,1.4,79.3,5.5,15.3,5.0
1984,2.7,-,-,-,-,-,-,14.0,4.3,-8.9,20.8,13.1,26.7,62.3,8.4,2.4,6.4,-8.5,28.8,18.6,6.7
1985,2.7,-,-,-,-,-,-,14.7,20.4,30.9,6.4,16.9,8.6,-0.7,15.7,-3.4,2.8,-22.7,12.2,11.2,4.2
1986,6.1,-,-,-,-,-,-,15.9,-0.4,-9.4,-1.0,10.4,35.3,33.8,36.2,11.5,2.6,49.2,1.2,16.7,7.0
1987,4.9,-,-,-,-,-,-,16.5,4.0,-8.1,9.2,13.4,27.5,21.2,31.5,14.3,-0.2,56.1,22.9,16.1,9.0
1988,1.2,1.7,-10.4,-0.7,5.0,13.0,0.0,-1.0,-20.2,-7.1,-25.0,-28.3,12.6,1.0,19.6,-1.1,1.9,-6.5,18.4,-4.5,2.3
1989,-1.0,-1.4,-2.1,-1.6,-0.9,-1.2,2.6,2.2,3.1,-6.8,1.4,14.0,1.7,-1.7,3.4,0.8,1.2,0.1,-0.3,6.9,0.3
1990,13.1,7.4,48.1,13.6,13.7,13.2,2.5,15.9,8.9,3.9,13.3,11.3,19.4,66.4,-3.2,8.0,2.9,18.3,2.6,33.0,9.2
1991,2.7,4.7,4.4,2.9,1.2,-5.6,2.3,0.4,-2.2,-0.5,-14.2,1.3,1.7,4.1,-0.4,3.7,2.4,5.8,3.7,-5.2,1.1
1992,3.2,2.2,-1.1,1.1,9.2,10.2,2.6,6.4,6.5,9.9,7.3,3.7,6.3,7.2,5.5,3.6,3.4,4.0,11.0,10.9,5.5
1993,8.6,5.2,22.7,7.4,11.6,8.6,2.6,26.4,7.2,17.8,26.7,-8.2,35.0,59.3,13.7,8.6,1.8,20.0,7.7,35.8,8.4
1994,-5.4,-1.5,-31.5,-11.7,4.6,5.2,2.8,-16.0,-30.8,-52.7,-41.2,-3.1,-10.7,-26.8,9.2,-5.5,0.8,-14.7,15.2,-21.9,-5.0
1995,4.8,4.4,15.1,6.6,0.9,2.6,2.1,9.1,-18.8,-14.0,6.2,-28.6,16.9,32.3,4.2,6.8,2.5,14.1,8.0,29.6,6.7
1996,8.5,2.4,35.6,11.4,5.3,9.4,2.4,14.1,24.4,12.0,30.2,29.3,12.1,25.2,-1.7,8.6,-0.3,22.2,22.0,20.5,7.4
1997,8.4,0.8,33.6,8.7,3.5,15.1,2.3,14.8,28.4,36.2,22.8,26.8,11.9,21.2,-0.4,4.1,0.1,9.2,19.1,22.4,7.6
1998,0.6,-0.1,-0.8,0.3,4.9,-0.8,2.1,-3.9,13.9,19.1,25.0,6.3,-8.3,-12.3,-1.8,7.8,5.9,10.0,12.0,2.3,3.2
1999,-2.6,1.9,-0.3,-8.3,-4.9,-11.2,1.1,-15.7,-8.7,-4.3,-1.6,-15.0,-17.8,-24.1,-8.8,6.5,2.7,10.6,-7.0,-3.7,-4.7
2000,6.2,3.2,27.4,0.9,-2.1,7.6,0.0,16.9,19.6,20.3,31.6,12.2,16.0,37.2,-9.7,7.1,2.0,12.4,19.2,25.4,7.3
2001,-9.2,-3.6,-30.4,-9.0,0.9,-9.3,2.1,-31.5,-22.0,-39.0,-20.0,-10.3,-34.9,-49.6,-8.0,-8.5,1.6,-18.0,7.4,-24.8,-7.5
2002,2.1,1.1,2.1,3.0,-2.0,8.5,1.8,-1.1,8.8,12.2,19.7,0.4,-5.3,4.4,-14.9,5.4,0.7,10.8,11.1,15.8,7.9
2003,6.6,4.1,24.0,2.1,2.2,7.5,1.4,10.0,-11.5,-19.2,-26.7,4.0,20.3,46.1,-11.4,-2.4,0.8,-5.9,16.0,27.1,5.8
2004,10.1,2.8,29.7,18.8,0.3,9.3,1.8,32.4,-4.7,14.8,-24.4,-3.2,45.5,60.3,15.3,0.5,1.2,-0.2,12.5,24.7,9.0
2005,8.8,8.2,15.0,12.9,-0.1,7.8,1.5,24.0,25.9,51.6,16.1,16.1,23.6,21.4,29.9,2.4,0.8,4.3,8.5,11.5,7.4
2006,5.2,3.1,2.9,15.8,2.9,5.0,2.2,14.0,-0.2,-17.5,-6.5,14.3,17.4,13.9,26.4,9.6,2.0,18.0,8.5,7.1,6.1
