Table_11.42,Employment and Basic Indicators in Financial Intermediary Institutions - Input (Girdi) (Million TL) (ISIC Rev.3)
ISIC_Rev3_Code,Economic_Activity,1993,1994,1995,1996,1997,1998,1999,2000,2001
Total,Toplam - Total,106658382,415699386,887990208,1688351658,2924749200,6722229131,18742730829,23031397581,82873556310
6511_6519,Banks (Central Bank included) Special Finance Houses,85456216,381615433,396705014,1047715773,2429665819,5356651625,16170133656,19358815953,76558516453
6591,Financial Leasing Companies,698643,4492079,6296026,14902385,46558361,126774332,327221780,292498045,961783056
6592,Agricultural Credit Cooperatives and other credit granting,6227,10897,23865,876064,68021178,395956640,575833412,806855030,950397417
6599,Factoring Companies and other financial intermediation,47821,83687,183274,727769,102569293,201677129,330023769,370363146,1274231465
6601,Life Insurance,4106117,1835240,4204104,12705399,33272475,93843957,248952314,495656776,737665338
6603,Non-life Insurance,14254659,23009825,46647035,101406806,208389520,406609460,859285067,1303326133,1808627873
6712,Mutual Funds Companies and activities auxiliary,698475,1835528,429254472,502438421,24385362,109068628,146790403,268100905,386023673
6719,Foreign Exchange Offices and other activities auxiliary,823782,698204,481800,2122393,2562517,5562199,11478000,16507655,24112688
6720,Insurance Agency,566442,2118493,4194618,5456648,9324675,26085161,73012428,119273938,172198347
