Table,18.2,Vade ve turlerine gore mevduat bankalari mevduati / Deposits in deposit money banks by due date and types,Source: T.C. Merkez Bankasi
Unit,Million TL (Milyon TL),,,,,,,,,
Note_1,"Special Finance Houses deposits reclassified to Interbank Deposits from December 2002",,,,,,,,,,
Note_2,"Extrabudgetary Fund deposits not included in money supply",,,,,,,,,,
Year,Saving_Deposits_Sight,Saving_Deposits_Time,Certificates_of_Deposits_Time,Official_Deposits_Sight,Official_Deposits_Time,Commercial_Corp_Deposits_Sight,Commercial_Corp_Deposits_Time,Other_Corp_Deposits_Sight,Other_Corp_Deposits_Time
1949,353,118,,177,15,222,28,,
1950,449,129,,203,26,273,51,,
1951,626,120,,302,68,365,63,,
1952,775,114,,357,203,485,41,,
1953,1044,122,,366,281,666,113,,
1954,1294,130,,419,347,713,115,,
1955,1563,165,,550,352,858,132,,
1956,2037,237,,584,497,1094,99,,
1957,2788,307,,664,566,1235,88,,
1958,2997,365,,714,642,1325,87,,
1959,3610,430,,995,697,1565,103,,
1960,3682,684,,1049,848,1604,104,,
1961,3967,969,,1274,254,1688,124,,
1962,4487,1014,,1687,336,1747,147,,
1963,5242,1361,,1396,502,1805,210,,
1964,5934,1583,,1535,536,2207,215,,
1965,7528,2293,,1536,512,2555,358,,
1966,9410,3203,,1650,583,3181,459,,
1967,10390,3954,,1979,665,3562,465,,
1968,12800,4913,,2182,777,4926,517,,
1969,15018,5848,,2455,833,6014,591,,
1970,16783,8216,,3031,902,6561,678,,
1971,20877,12274,,4743,1037,8673,746,,
1972,24865,17067,,6519,1389,11838,941,,
1973,32938,20418,,8994,1499,15998,124,,
1974,39654,24434,,9515,2092,22609,143,,
1975,52249,28814,,13513,3587,32077,188,,
1976,62709,30485,,15752,4280,44931,291,,
1977,82399,34064,,21165,4883,62953,339,,
1978,103268,44076,,29690,5653,86033,338,,
1979,135000,71500,,21800,1100,157700,700,28700,15800
1980,182600,137800,22200,40700,900,290700,1000,44600,24900
1981,209600,472100,150500,83600,1300,467400,2900,57200,64900
1982,255200,840300,257600,92100,1600,666700,6400,69900,167700
1983,527500,1116300,113800,161500,11600,843300,11300,146100,151700
1984,406400,2350600,273800,225300,30100,1124700,121100,149200,299600
1985,514100,3661400,673300,367400,123100,1663900,346300,210700,438700
