table_number,table_name,source_chunk,pages,unit,price_base
20.26 (continued),Share of GFCF and Government consumption in GDP [At 1987 prices],chunk_026,"758-759",Percent (%),1987

Year,GFCF_General_Total_pct,GFCF_PublicSector_Total_pct,GFCF_Public_MachineryEquipment_pct,GFCF_Public_BuildingConstruction_pct,GFCF_Public_OtherConstruction_pct,GFCF_PrivateSector_Total_pct,GFCF_Private_MachineryEquipment_pct,GFCF_Private_BuildingConstruction_pct,Govt_Final_Consumption_Total_pct,Govt_Wages_Salaries_pct,Govt_Other_Current_pct,Change_in_Stocks_pct,Exports_Goods_Services_pct,Imports_Goods_Services_pct,GDP_pct
1980,19.5,50.1,48.4,18.9,32.7,49.9,17.1,82.9,7.7,84.5,15.5,0.4,5.3,10.7,100
1981,19.3,58.6,44.6,19.9,35.5,41.4,21.3,78.7,7.9,80.4,19.6,2.2,8.5,11.4,100
1982,17.7,58.8,47.1,18.2,34.7,41.2,28.9,71.1,7.4,82.7,17.3,0.3,11.2,11.8,100
1983,18.3,56.6,46.3,18.1,35.7,43.4,34.0,66.0,8.1,73.0,27.0,-0.4,11.3,13.0,100
1984,19.5,51.8,40.4,20.9,38.7,48.2,43.6,56.4,7.8,75.9,24.1,0.6,13.6,14.4,100
1985,21.5,54.3,43.9,18.5,37.6,45.7,39.9,60.1,7.2,80.7,19.3,0.2,14.7,15.4,100
1986,23.3,46.7,40.0,18.4,41.6,53.3,39.4,60.6,7.5,74.2,25.8,0.9,13.9,16.7,100
1987,24.8,41.7,35.3,19.3,45.4,58.3,37.5,62.5,7.9,64.8,35.2,0.9,15.6,17.8,100
1988,24.0,33.6,41.1,18.1,40.8,66.4,33.6,66.4,7.6,66.7,33.3,-0.9,18.1,16.6,100
1989,24.5,33.9,37.1,17.8,45.0,66.1,32.5,67.5,7.6,67.0,33.0,0.7,18.0,17.7,100
1990,26.0,31.9,35.4,18.5,46.0,68.1,45.3,54.7,7.6,63.8,36.2,1.8,16.9,21.6,100
1991,25.8,31.1,36.1,16.3,47.7,68.9,46.4,53.6,7.7,63.1,36.9,-1.1,17.4,20.3,100
1992,26.0,31.1,37.2,16.4,46.4,68.9,46.7,53.3,7.6,63.0,37.0,0.5,18.3,21.3,100
1993,30.3,26.4,40.9,19.4,39.8,73.6,55.1,44.9,7.6,59.0,41.0,1.5,18.1,26.7,100
1994,26.8,21.8,27.9,16.5,55.6,78.2,45.2,54.8,7.6,63.0,37.0,-3.2,22.0,21.9,100
1995,27.4,16.2,29.5,21.5,48.9,83.8,51.1,48.9,7.6,60.5,39.5,1.8,22.3,26.6,100
1996,29.2,17.6,26.6,22.6,50.8,82.4,57.1,42.9,7.7,55.5,44.5,-0.4,25.3,29.9,100
1997,31.1,19.7,28.2,21.6,50.2,80.3,61.8,38.2,7.4,53.4,46.6,-1.3,28.0,34.0,100
1998,29.0,23.4,29.5,23.7,46.8,76.6,59.1,40.9,7.8,52.4,47.6,-0.4,30.4,33.7,100
1999,25.6,25.3,30.9,25.5,43.6,74.7,54.7,45.3,8.7,50.6,49.4,1.7,29.6,34.1,100
2000,27.9,25.9,31.1,28.1,40.9,74.1,64.7,35.3,8.7,48.2,51.8,2.6,32.9,39.9,100
2001,20.7,29.6,24.3,28.8,47.0,70.4,50.1,49.9,8.6,53.5,46.5,-1.5,38.2,32.4,100
2002,18.9,32.5,25.0,31.6,43.3,67.5,55.2,44.8,8.4,51.1,48.9,5.1,39.3,34.8,100
2003,19.7,26.2,22.9,26.2,50.9,73.8,67.0,33.0,7.7,52.9,47.1,7.7,43.1,41.8,100
2004,23.9,18.8,27.5,20.8,51.7,81.2,73.9,26.1,7.1,53.2,46.8,8.1,44.5,47.8,100
2005,27.6,19.1,33.2,19.2,47.7,80.9,72.5,27.5,6.8,52.3,47.7,5.3,45.0,49.6,100
2006,29.7,16.7,27.4,18.0,54.6,83.3,70.4,29.6,7.0,48.7,51.3,3.0,46.0,50.1,100
