Table_11.4,Annual rate of change of establishments employment wages and value added in manufacturing industry
Source,TurkStat Annual Manufacturing Industry Statistics
Unit,Percent (%)

Year,Establishments_pct,Employment_pct,Wages_pct,Value_Added_pct
1951,4.9,7.1,16.7,18.7
1952,10.2,4.1,17.2,28.3
1953,15.8,14.3,27.2,22.9
1954,9.9,4.6,15.7,10.5
1955,10.7,7.8,19.7,23.6
1956,8.2,3.3,22.2,16.3
1957,0.5,9.1,30.3,34.6
1958,10.6,10.2,29.9,28.8
1959,5.8,3.1,32.7,42.5
1960,1.6,-1.1,9.1,10.4
1961,24.7,7.1,10.4,3.8
1962,-41.3,1.3,10.9,10.4
1963,-25.2,-6.8,-0.1,-2.4
1964,3.8,13.4,22.9,21.6
1965,3.7,6.1,21.4,36.3
1966,0.7,6.6,16.2,16.9
1967,1.9,7.5,20.1,31.7
1968,2.9,6.1,15.3,16.8
1969,1.8,2.8,10.6,10.8
1970,38.3,11.4,34.1,30.4
1971,2.3,3.0,29.8,32.0
1972,11.9,10.5,18.3,25.1
1973,5.3,7.8,29.8,10.8
1974,1.3,8.3,39.1,41.8
1975,3.0,1.2,36.8,26.1
1976,-0.2,2.5,51.7,32.9
1977,7.7,9.5,47.3,36.3
1978,9.4,0.8,49.9,54.1
1979,4.3,1.3,60.8,51.6
1980,17.1,1.2,67.6,108.8
1981,5.5,1.4,45.6,65.3
1982,2.9,3.8,29.1,39.1
1983,-2.0,4.1,29.4,30.8
1984,-5.3,3.0,35.8,43.6
1985,21.3,4.4,43.7,58.9
1986,-8.3,1.5,32.8,75.3
1987,-3.6,3.0,53.4,42.6
1988,-1.0,3.6,70.0,90.6
1989,1.3,1.2,107.2,68.6
1990,-6.1,0.2,94.3,68.9
1991,-6.9,-7.9,98.7,73.2
1992,35.6,3.8,67.6,86.4
1993,-5.7,-0.5,68.1,82.4
1994,-4.2,-4.3,58.4,103.7
1995,1.0,4.1,80.8,90.5
1996,3.5,6.8,86.4,66.4
1997,7.4,9.7,111.1,114.6
1998,8.4,5.9,93.1,70.1
1999,-8.6,-7.7,64.9,51.2
2000,-1.3,1.5,57.3,47.5
2001,1.7,-2.9,30.8,72.7
