table_number,table_name,source_chunk,pages,unit,methodology
20.29,Share of GDP by expenditure approach ESA-95 [At current prices],chunk_026,"762",Percent (%),ESA-95

Year,Resident_HH_Consumption_pct,Resident_NonResident_HH_Domestic_Consumption_pct,Less_NonResident_HH_Domestic_Consumption_pct,Resident_HH_Abroad_Consumption_pct,Govt_Final_Consumption_pct,Govt_CompensationEmployees_pct,Govt_PurchasesGoodsServices_pct,GFCF_Total_pct,GFCF_PublicSector_pct,GFCF_PrivateSector_pct,Change_in_Stocks_pct,Exports_GoodsServices_pct,Less_Imports_GoodsServices_pct,GDP_pct
1998,66.5,70.8,4.9,0.6,10.3,6.6,3.6,22.9,4.6,18.3,-0.7,21.3,20.2,100.0
1999,68.5,71.7,3.8,0.6,12.2,7.9,4.4,18.9,4.4,14.5,0.2,19.4,19.3,100.0
2000,70.5,74.9,5.0,0.6,11.7,7.2,4.6,20.4,4.6,15.7,0.4,20.1,23.1,100.0
2001,68.4,74.9,7.4,0.9,12.4,7.5,4.9,15.9,4.2,11.7,-0.9,27.4,26.2,100.0
2002,68.0,74.0,6.8,0.8,12.7,7.6,5.2,16.7,4.3,12.4,0.9,25.2,25.4,100.0
2003,71.2,76.0,5.5,0.7,12.2,7.8,4.4,17.0,3.4,13.6,0.6,23.0,27.6,100.0
2004,71.3,75.8,5.1,0.6,11.9,7.4,4.5,20.3,2.9,17.4,-1.0,23.6,27.5,100.0
2005,71.7,75.6,4.5,0.6,11.8,7.1,4.7,21.0,3.3,17.7,-1.0,21.9,23.3,100.0
2006,70.5,74.5,4.5,0.5,12.3,7.0,5.4,22.3,3.4,18.9,-0.2,22.7,23.6,100.0
2007,71.3,74.6,3.8,0.5,12.8,7.1,5.7,21.4,3.4,18.0,-0.4,22.3,24.0,100.0
2008,69.8,73.2,3.8,0.5,12.8,7.0,5.8,19.9,3.9,16.0,1.9,23.9,28.3,100.0
2009,71.5,75.0,4.2,0.7,14.7,8.0,6.7,16.9,3.7,13.2,-1.9,23.3,24.4,100.0
2010,71.7,74.6,3.5,0.7,14.3,7.9,6.4,18.9,4.0,15.0,0.6,21.2,26.8,100.0
2011,71.2,74.1,3.6,0.6,13.9,7.8,6.1,21.8,3.7,18.0,2.0,23.7,32.6,100.0
