table_number,table_name,source_chunk,pages,unit,methodology,price_base
20.28,GDP by expenditure types ESA-95 [At 1998 prices],chunk_026,"761",Billion TL,ESA-95,1998
notes,"2005-2008 data in Thousand TRY. From 1.1.2009 TRY expression changed to TL."

Year,Resident_HH_Consumption,Resident_NonResident_HH_Domestic_Consumption,Less_NonResident_HH_Domestic_Consumption,Resident_HH_Abroad_Consumption,Govt_Final_Consumption,Govt_Compensation_Employees,Govt_PurchasesGoodsServices,GFCF_Total,GFCF_PublicSector,GFCF_PrivateSector,Change_in_Stocks,Exports_GoodsServices,Less_Imports_GoodsServices,GDP
1998,46668561,49694150,3472963,447373,7197730,4651179,2546552,16046649,3219178,12827470,-522264,14979695,14167223,70203147
1999,46707900,48861561,2574569,420909,7487233,4737911,2749322,13445804,3055483,10390321,460671,13379939,13640979,67840570
2000,49444450,52804768,3823797,463478,7910764,4704248,3206516,15794125,3590225,12203900,376782,15518227,16607950,72436399
2001,46182645,49911265,4200632,472012,7826844,4878269,2948574,11060447,2866502,8193945,-392956,16128964,12496592,68309352
2002,48372691,52365143,4529864,537412,8283079,4958462,3324617,12684573,3103081,9581492,1043981,17239803,15104296,72519831
2003,53295981,57160510,4402691,538162,8066780,5012060,3054720,14481761,2633683,11848078,729179,18421633,18657142,76338193
2004,59143619,62966589,4381203,558233,8553886,5024245,3529641,18589131,2460085,16129047,-734283,20478591,22545355,83485591
2005,63787207,67704926,4513068,595349,8766884,4985096,3781789,21821588,3074058,18747529,-681313,22095181,25289816,90499731
2006,66749821,70792710,4555409,512520,9506407,5006997,4499411,24714467,3154521,21559946,-764038,23563374,27031712,96738320
2007,70421398,74106803,4232799,547394,10127098,5060735,5066363,25480808,3352767,22128041,-135869,25275168,29913978,101254625
2008,70198486,73800315,4084770,482942,10304175,5042711,5261464,23912294,3780105,20132189,217211,25968236,28678672,101921730
2009,68597603,72348575,4427934,676962,11105788,5112949,5992839,19358027,3755945,15602082,-2140473,24660528,24578358,97003114
2010,73174350,76651527,4208987,731810,11325193,5172463,6152730,25270576,4419507,20851069,281357,25500932,29666764,105885644
2011,78851141,82242216,4039158,648084,11834486,5376746,6457740,29934684,4274801,25659882,13878,27144950,32889837,114889302
