Table,17.16,Harcama gruplarina gore tuketici fiyatlari endeks sayilari / Consumer price indexes (CPI) by expenditure groups,Source: TurkStat
Unit,Index [2003=100],,,,,,,,
Year,General,Food_Nonalcoholic_Beverages,Alcoholic_Beverages_Tobacco,Clothing_Footwear,Housing_Water_Electricity_Gas_Fuels,Furnishings_Household_Equipment,Health,Transport,Communications,Recreation_Culture,Education,Hotels_Cafes_Restaurants,Misc_Goods_Services
2003,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100,100,100,100,100
2004,108.60,106.82,119.10,106.64,108.44,106.02,108.05,107.31,103.17,108.91,119.33,116.73,110.22
2005,117.48,112.08,135.18,110.44,120.00,113.64,112.64,123.73,104.89,117.06,135.16,133.49,117.71
2006,128.76,122.95,163.54,110.35,135.18,120.01,116.95,136.44,107.61,122.88,145.65,152.08,137.05
2007,140.03,138.21,179.77,115.33,150.34,129.13,122.53,144.09,106.71,127.38,156.14,169.10,144.66
2008,154.66,155.88,192.47,118.20,179.87,138.03,123.04,155.57,108.64,129.87,166.70,191.72,158.59
2009,164.32,168.39,216.94,119.16,195.73,139.23,126.66,155.94,112.38,142.66,176.37,209.26,179.16
2010,178.40,186.20,292.38,124.58,208.02,142.28,127.57,170.95,112.10,145.95,185.87,229.07,191.69
2011,189.95,197.82,302.81,132.76,220.06,153.36,128.35,188.00,112.61,148.20,195.96,247.51,216.16
