Table 20.9 - Gross Domestic Product by Kind of Economic Activity [At Current Prices]
Source: TurkStat Statistical Indicators 1923-2011, pages 714-715
Unit: Billion TL (Milyar TL)
Note: 2005-2008 data in Thousand TRY (Bin YTL). From 1.1.2009, TRY expression changed to TL.
Note: Asterisk (*) on 2011 indicates provisional data.

Year,Col1a_Agriculture_Hunting_Forestry,Col1b_Fishing,Col2a_Mining_Quarrying,Col2b_Manufacturing,Col2c_Electricity_Gas_Water,Col3_Construction,Col4_Wholesale_Retail_Trade,Col5_Hotels_Restaurants,Col6_Transport_Storage_Communication,Col7_Financial_Intermediation,Col8_Ownership_of_Dwelling,Col9_Real_Estate_Renting_Business,Col10_Public_Admin_Defence_Social_Security,Col11_Education,Col12_Health_Social_Work,Col13_Other_Community_Social_Personal,Col14_Private_Household_Employed_Persons,Col15_Total_Sectors,Col16_FISIM_minus,Col17_Taxes_minus_Subsidies,Col18_GDP_Purchasers_Price
1998,8520613,236870,729072,16791078,1310649,4085861,9836179,1783827,7735727,5347364,3499949,1742077,2819513,1543824,842865,1090449,78665,67994582,3518398,5726963,70203147
1999,10682740,294393,988954,22889249,2139824,5687701,12992298,2320671,12102368,10663270,7617159,2735086,5088035,2744213,1479018,1688053,126760,102239791,7100638,9456762,104595916
2000,16430769,386553,1658124,33454594,3276249,8405526,21121955,4041429,20299164,11641355,14494393,4251459,7428282,4042886,2187666,2702247,200360,156023012,7358819,17993829,166658021
2001,20737537,499136,2353927,45829468,5656849,10702029,29140019,5866786,31963787,20717364,21130606,6693311,11405217,6019542,3148794,3918047,311222,226093640,12625397,26755840,240224083
2002,35434614,623667,3225992,62361454,8013139,14707329,42820198,7986333,49025450,15449977,28465425,11536129,15995808,9462305,5067781,6343843,502390,317021834,9035085,42489340,350476089
2003,44179956,958004,4538250,80627034,9826640,18405464,55754340,9797397,62934587,15545818,37546758,15069147,20804741,12576306,6870049,8752354,648764,404835610,8594013,58539063,454780659
2004,51782669,1214976,5898572,97193358,10658842,24661000,70762478,12698236,76021278,18616620,48052807,18892433,24980292,15136127,8139541,9358924,815906,494884058,9521893,73670861,559033026
2005,59027013,1686734,7628517,112051658,11956714,28694134,80211869,14528348,89087295,18293386,60120175,22613950,26018778,17773360,10339616,10687042,995880,571714470,9353841,86571083,648931712
2006,60819444,1843310,8952359,130393077,13452105,35849263,94856320,17041942,104123045,21860640,74467156,27822912,29620624,21241900,12061082,12784022,1229064,668418265,10490121,100462642,758390785
2007,62567776,1763941,10530738,141853309,16117886,41013267,103129169,19074202,117583068,27392508,91070060,34598696,32998021,24633641,13910296,14653776,1494186,754384542,12928697,101722577,843178421
2008,70741993,1532592,13458457,153721455,20637525,44657644,116297110,21034516,135030193,33036646,106137796,40670633,36436682,27878075,15577687,16030765,1705443,854585214,14927534,110876571,950534251
2009,76997468,1778418,14235361,144992162,22818051,36577637,103452320,23714131,127283537,42687806,117287009,45167515,41270555,31813406,16448847,16078191,1847272,864449686,21708092,109816985,952558579
2010,90721877,2017144,15785419,172112147,25454991,45669500,120869437,25589583,144427539,40501622,123028927,52742758,46090339,36802652,17939458,18696622,2097000,980547016,19419336,137671668,1098799348
2011,101300415,2343510,19175119,210751908,28752551,57294470,156119940,29547439,176132067,40662776,129513565,61039328,52310456,42789931,19415507,21420359,2383195,1150952536,17474243,164583710,1298062004
