Table_20.2,GNP_by_economic_activity_at_constant_prices,Unit:Million_TL
Note: 1923-1947 at 1948 prices; 1948-1967 at 1968 prices; 1968-2006 at 1987 prices
Year,GNP_TL,GNP_pct_change,Agriculture_TL,Agriculture_pct_change,Industry_TL,Industry_pct_change,Services_TL,Services_pct_change
1923,2929,,1264,,309,,1356,
1924,3364,14.9,1607,27.2,287,-7.1,1470,8.4
1925,3793,12.8,1697,5.6,338,17.9,1758,19.7
1926,4484,18.2,2237,31.8,388,14.8,1859,5.7
1927,3910,-12.8,1546,-30.9,464,19.4,1900,2.2
1928,4341,11.0,1842,19.2,461,-0.6,2038,7.3
1929,5278,21.6,2627,42.6,479,3.8,2173,6.6
1930,5394,2.2,2525,-3.9,539,12.7,2330,7.2
1931,5866,8.7,2887,14.3,616,14.2,2363,1.4
1932,5235,-10.7,2055,-28.8,725,17.8,2455,3.9
1933,6064,15.8,2510,22.1,863,19.0,2692,9.6
1934,6430,6.0,2578,2.7,982,13.8,2870,6.6
1935,6234,-3.0,2421,-6.1,981,-0.1,2833,-1.3
1936,7680,23.2,3731,54.1,947,-3.4,3002,6.0
1937,7798,1.5,3600,-3.5,1045,10.3,3154,5.1
1938,8538,9.5,3794,5.4,1209,15.7,3535,12.1
1939,9128,6.9,3939,3.8,1411,16.7,3778,6.9
1940,8678,-4.9,3891,-1.2,1267,-10.2,3520,-6.8
1941,7780,-10.3,3249,-16.5,1238,-2.4,3294,-6.4
1942,8217,5.6,3881,19.4,1206,-2.5,3130,-5.0
1943,7413,-9.8,3395,-12.5,1189,-1.4,2828,-9.6
1944,7038,-5.1,3032,-10.7,1117,-6.1,2890,2.2
1945,5960,-15.3,2322,-23.4,932,-16.6,2707,-6.3
1946,7864,31.9,3580,54.2,1175,26.1,3109,14.8
1947,8192,4.2,3163,-11.7,1243,5.8,3787,21.8
1948,37065,,16437,,4753,,15875,
1949,35213,-5.0,14218,-13.5,4622,-2.7,16373,3.1
1950,38506,9.4,15761,10.9,5054,9.3,17691,8.0
1951,43446,12.8,18876,19.8,5187,2.6,19384,9.6
1952,48621,11.9,20666,9.5,5753,10.9,22202,14.5
1953,54091,11.2,22461,8.7,6857,19.2,24773,11.6
1954,52480,-3.0,19335,-13.9,7486,9.2,25659,3.6
1955,56642,7.9,21235,9.8,8333,11.3,27074,5.5
1956,58428,3.2,22296,5.0,9128,9.6,27004,-0.3
1957,62995,7.8,23737,6.5,10110,10.7,29149,7.9
1958,65844,4.5,25909,9.2,10671,5.6,29264,0.4
1959,68521,4.1,25985,0.3,11058,3.6,31479,7.6
1960,70869,3.4,26591,2.3,11100,0.4,33178,5.4
1961,72286,2.0,25301,-4.9,12398,11.7,34587,4.2
1962,76754,6.2,26575,5.0,12831,3.5,37348,8.0
1963,84188,9.7,29139,9.6,14370,12.0,40679,8.9
1964,87619,4.1,29017,-0.4,15986,11.2,42617,4.8
1965,90368,3.1,27884,-3.9,17501,9.5,44984,5.6
1966,101204,12.0,30877,10.7,20153,15.2,50174,11.5
1967,105461,4.2,30901,0.1,21797,8.2,52763,5.2
1968,31635197,,10451336,,5420244,,15763617,
1969,33002579,4.3,10309629,-1.4,6071704,12.0,16621247,5.4
1970,34468624,4.4,10595792,2.8,6039971,-0.5,17832860,7.3
1971,36897377,7.0,11134245,5.1,6576655,8.9,19186477,7.6
1972,40279248,9.2,11250327,1.0,7274533,10.6,21754388,13.4
1973,42255004,4.9,10343382,-8.1,8148177,12.0,23763445,9.2
1974,43633172,3.3,10985447,6.2,8723337,7.1,23924387,0.7
1975,46275414,6.1,11315684,3.0,9514813,9.1,25444917,6.4
1976,50437968,9.0,12098338,6.9,10357194,8.9,27982436,10.0
1977,51944339,3.0,11838641,-2.1,11040984,6.6,29064715,3.9
1978,52582171,1.2,12155103,2.7,11385281,3.1,29041787,-0.1
1979,52324176,-0.5,12135879,-0.2,10818217,-5.0,29370080,1.1
1980,50869915,-2.8,12287951,1.3,10424178,-3.6,28157787,-4.1
1981,53316849,4.8,12066633,-1.8,11453641,9.9,29796576,5.8
1982,54963216,3.1,12463165,3.3,12032940,5.1,30467110,2.3
1983,57279000,4.2,12359289,-0.8,12837433,6.7,32082278,5.3
1984,61349830,7.1,12438263,0.6,14187937,10.5,34723630,8.2
1985,63989099,4.3,12396028,-0.3,15116141,6.5,36476930,5.0
1986,68314878,6.8,12836768,3.6,17099707,13.1,38378403,5.2
1987,75019388,9.8,12882700,0.4,18679589,9.2,43457099,13.2
1988,76108143,1.5,13911021,8.0,19073840,2.1,43123282,-0.8
1989,77347305,1.6,12845404,-7.7,20007946,4.9,44493955,3.2
1990,84591717,9.4,13746287,7.0,21872603,9.3,48972828,10.1
1991,84887074,0.3,13662907,-0.6,22504221,2.9,48719946,-0.5
1992,90322516,6.4,14248581,4.3,23910622,6.2,52163313,7.1
1993,97676586,8.1,14129023,-0.8,25897718,8.3,57649845,10.5
1994,91733010,-6.1,14044544,-0.6,24432971,-5.7,53255495,-7.6
1995,99028241,8.0,14230305,1.3,27475756,12.5,57322180,7.6
1996,106079777,7.1,14878622,4.6,29335160,6.8,61865995,7.9
1997,114874198,8.3,14549630,-2.2,32336972,10.2,67987596,9.9
1998,119303117,3.9,15952685,9.6,32922163,1.8,70428269,3.6
1999,112043830,-6.1,15064386,-5.6,31247893,-5.1,65731551,-6.7
2000,119144472,6.3,15641800,3.8,33170615,6.2,70332057,7.0
2001,107783063,-9.5,14710538,-6.0,30721579,-7.4,62350947,-11.3
2002,116337624,7.9,15808470,7.5,33502214,9.1,67026940,7.5
2003,123164990,5.9,15422217,-2.4,36100528,7.8,71642245,6.9
2004,135308023,9.9,15733558,2.0,39488536,9.4,80085929,11.8
2005,145650603,7.6,16625493,5.7,42107627,6.6,86917483,8.5
2006,154342719,6.0,17109108,2.9,45289495,7.6,91944116,5.8
Note: Imputed bank service charges deducted. 2005-2006 data in YTL.
Source: TurkStat National Accounts Chapter.
