Table 8.9 - Employed persons by work place [15+ age] Part 1: 1988-2003 (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Note: Fixed = factories, storehouses, markets, shops, offices, workshops. (1) Fixed workplace definition.
Year,Sex,Total,Field,Fixed_Workplace,Mobile,Home,Other
1988,Total,17755,,17321,277,157,
1989,Total,18222,,17703,287,233,
1990,Total,18538,,17781,593,164,
1991,Total,19288,,18124,977,187,
1992,Total,19460,,18071,1077,312,
1993,Total,18500,,16876,1394,223,7
1994,Total,20006,,18082,1616,293,16
1995,Total,20586,8983,9680,1682,223,19
1996,Total,21194,9118,10126,1747,192,12
1997,Total,21204,8720,10484,1778,217,6
1998,Total,21780,8939,10779,1854,199,10
1999,Total,22047,8774,10927,1953,387,7
2000,Total,21580,7667,11629,2025,259,
2001,Total,21523,8021,11533,1767,202,
2002,Total,21354,7414,12157,1540,243,
2003,Total,21148,7101,12262,1541,244,
1988,Male,12520,,12246,256,18,
1989,Male,12548,,12250,276,22,
1990,Male,12901,,12336,554,12,
1991,Male,13395,,12462,922,11,
1992,Male,13682,,12622,1031,29,
1993,Male,13723,,12348,1340,29,6
1994,Male,14191,,12568,1565,46,12
1995,Male,14629,4719,8229,1632,34,16
1996,Male,15066,4713,8611,1693,41,9
1997,Male,15400,4784,8834,1734,43,5
1998,Male,15687,4816,9014,1812,37,9
1999,Male,15714,4572,9131,1892,114,6
2000,Male,15779,4170,9588,1962,59,
2001,Male,15555,4245,9586,1697,27,
2002,Male,15232,3744,10000,1459,29,
2003,Male,15256,3662,10090,1481,23,
1988,Female,5235,,5075,21,139,
1989,Female,5675,,5453,11,211,
1990,Female,5637,,5445,40,152,
1991,Female,5894,,5663,55,176,
1992,Female,5778,,5450,46,283,
1993,Female,4777,,4529,54,194,1
1994,Female,5816,,5515,51,247,4
1995,Female,5958,4264,1452,50,189,3
1996,Female,6128,4405,1515,54,152,3
1997,Female,5804,3936,1651,44,174,1
1998,Female,6093,4123,1765,42,162,1
1999,Female,6333,4203,1796,61,274,1
2000,Female,5801,3497,2041,63,200,
2001,Female,5968,3776,1947,70,175,
2002,Female,6122,3670,2157,81,214,
2003,Female,5892,3439,2172,60,221,
