table_number,table_name,source_chunk,pages
20.23,Share of expenditure groups in GDP by expenditure approach [At current prices],chunk_025,"748-750"

Year,Private_Final_Consumption_Total_pct,Private_Food_Beverages_pct,Private_Durable_Goods_pct,Private_SemiDurable_NonDurable_pct,Private_Energy_Transport_Communication_pct,Private_Services_pct,Private_Ownership_Dwelling_pct,Govt_Final_Consumption_Total_pct,Govt_Wages_Salaries_pct,Govt_Other_Current_pct,Change_in_Stocks_pct,Exports_Goods_Services_pct,Imports_Goods_Services_pct,GDP_pct
1980,77.8,-,-,-,-,-,-,10.3,86.1,13.9,0.5,5.5,12.2,100
1981,77.0,-,-,-,-,-,-,8.6,80.0,20.0,2.3,8.6,13.1,100
1982,80.5,-,-,-,-,-,-,7.4,80.9,19.1,0.3,11.9,15.2,100
1983,79.8,-,-,-,-,-,-,8.4,70.0,30.0,-0.5,12.5,16.9,100
1984,78.9,-,-,-,-,-,-,7.4,69.5,30.5,0.6,15.6,20.0,100
1985,77.6,-,-,-,-,-,-,6.6,76.9,23.1,0.2,15.9,19.1,100
1986,72.5,-,-,-,-,-,-,6.7,69.9,30.1,0.9,13.3,16.4,100
1987,68.6,41.1,10.4,18.0,12.6,8.4,9.4,7.9,64.8,35.2,0.9,15.6,17.8,100
1988,65.2,39.1,9.9,18.7,14.5,9.9,7.8,7.8,64.7,35.3,-1.0,19.2,18.0,100
1989,67.7,40.4,10.0,17.2,15.3,10.9,6.2,9.6,73.1,26.9,0.7,16.7,18.4,100
1990,68.9,39.9,11.9,19.1,14.0,9.7,5.4,11.0,75.5,24.5,1.5,13.3,17.6,100
1991,68.6,38.3,11.9,19.4,14.9,9.7,5.8,12.0,78.4,21.6,-1.1,13.5,16.2,100
1992,67.3,37.0,11.5,18.5,16.9,10.2,5.9,12.4,79.6,20.4,0.2,13.9,16.8,100
1993,66.4,38.4,12.4,17.3,16.3,10.1,5.4,12.5,79.0,21.0,1.0,13.1,18.6,100
1994,67.2,39.3,9.3,17.2,18.0,11.0,5.2,11.2,76.5,23.5,-3.0,20.5,19.6,100
1995,68.9,41.6,9.9,16.8,16.0,10.8,5.0,10.6,74.0,26.0,1.6,19.5,23.8,100
1996,69.3,37.8,11.5,16.1,17.9,11.9,4.8,11.9,72.5,27.5,-0.6,22.2,28.7,100
1997,68.3,36.3,13.5,15.1,18.0,12.5,4.7,12.3,73.0,27.0,-1.3,24.7,30.5,100
1998,67.5,39.3,12.5,13.7,16.9,12.3,5.3,12.4,74.1,25.9,-0.4,23.8,27.2,100
1999,67.4,38.7,11.8,13.8,18.0,11.0,6.7,14.2,74.8,25.2,1.4,21.7,25.1,100
2000,69.7,36.6,14.2,13.8,17.7,10.7,7.0,13.7,72.0,28.0,2.1,23.4,30.7,100
2001,68.3,35.6,10.6,14.2,21.1,11.3,7.1,13.5,72.9,27.1,-1.3,32.0,29.7,100
2002,66.3,34.7,10.4,14.6,21.7,11.8,6.8,13.9,71.9,28.1,4.7,29.2,30.6,100
2003,66.8,35.0,11.9,14.0,20.9,11.6,6.6,13.7,74.6,25.4,7.3,27.5,30.8,100
2004,66.6,33.0,14.2,14.6,19.4,11.8,7.0,13.3,74.9,25.1,8.0,29.1,35.0,100
2005,68.3,30.9,16.3,14.9,19.1,11.4,7.4,13.2,75.0,25.0,5.3,27.8,34.4,100
2006,69.4,29.4,16.1,16.6,18.5,11.6,7.8,13.7,72.6,27.4,3.0,29.5,37.5,100
