Table_20.3,GDP_per_capita,Source:TurkStat_National_Accounts
Year,Midyear_population_thousands,GDP_percapita_current_TL,GDP_percapita_current_TL_pct_change,GDP_percapita_current_USD,GDP_percapita_current_USD_pct_change,GDP_percapita_constant1998_TL,GDP_percapita_constant1998_TL_pct_change
1998,62464,1124,,4338,,1124,
1999,63364,1651,46.9,3907,-9.9,1071,-4.7
2000,64252,2594,57.1,4130,5.7,1127,5.3
2001,65133,3688,42.2,3021,-26.9,1049,-7.0
2002,66008,5310,44.0,3492,15.6,1099,4.8
2003,66873,6801,28.1,4559,30.6,1142,3.9
2004,67723,8255,21.4,5764,26.4,1233,8.0
2005,68566,9464,14.7,7022,21.8,1320,7.1
2006,69395,10929,15.5,7586,8.0,1394,5.6
2007,70215,12009,9.9,9240,21.8,1442,3.4
2008,71095,13370,11.3,10438,13.0,1434,-0.6
2009,72050,13221,-1.1,8559,-18.0,1346,-6.1
2010,73003,15051,13.8,10022,17.1,1450,7.7
2011,73950,17553,16.6,10469,4.5,1554,7.1
Note: Population estimates based on 2008 Address-Based Population Registration System.
Source: TurkStat National Accounts Chapter.
