Table 11.37 - Industrial Turnover Index (NACE Rev.2) - Selected Manufacturing Sectors (continued)
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 334
Base year: 2005=100
Unit: Index (2005=100)
Section: Manufacturing industry (İmalat sanayi)
Year,Fabricated_Metal_Products,Computer_Electronic_Optical,Electrical_Equipment,Machinery_Equipment_NEC,Motor_Vehicles_Trailers,Other_Transport_Equipment,Furniture_Manufacture,Other_Manufacturing,Repair_Installation_Machinery
2005,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006,122.2,110.0,125.4,116.7,118.4,283.1,117.2,117.1,117.1
2007,138.2,122.4,156.5,133.4,133.3,319.9,125.5,146.9,176.8
2008,158.6,101.6,179.8,148.0,137.4,548.4,135.9,139.1,271.4
2009,151.0,101.6,147.5,128.8,120.1,566.8,144.3,126.5,207.2
2010,171.2,165.4,158.9,157.2,149.9,442.5,161.9,139.7,157.4
2011,221.3,195.0,204.2,221.8,199.5,534.5,204.7,162.2,148.4
