Table_8.11,Employed persons by age group (15+ age) - Part 2: 2004-2011 (continued)
Source,TurkStat Household Labour Force Survey Results
Unit,Thousand (Bin)
Note,"(1) Revised by new population projections. Data from 2008 weighted by renewed population projections."

Year,Sex,Total,Age_15to19,Age_20to24,Age_25to29,Age_30to34,Age_35to39,Age_40to44,Age_45to49,Age_50to54,Age_55to59,Age_60to64,Age_65plus
2004,Total,19632,1335,2219,3041,3007,2758,2416,1817,1162,763,482,632
2005,Total,20067,1348,2207,3188,3056,2823,2486,1909,1227,765,459,599
2006,Total,20423,1353,2180,3274,3140,2903,2528,1953,1289,787,468,547
2007,Total,20738,1324,2168,3381,3190,2974,2583,1984,1323,793,485,533
2008,Total,21194,1351,2133,3454,3249,3051,2615,2042,1397,841,503,558
2009,Total,21277,1298,2030,3328,3327,3044,2681,2100,1447,905,543,574
2010,Total,22594,1351,2114,3454,3562,3231,2881,2268,1560,988,595,590
2011,Total,24110,1378,2319,3573,3794,3399,3054,2459,1723,1103,658,650
2004,Male,14585,895,1454,2289,2332,2121,1885,1404,880,545,333,448
2005,Male,14959,927,1454,2400,2371,2165,1923,1470,928,564,324,433
2006,Male,15165,933,1444,2440,2418,2201,1942,1512,969,573,332,400
2007,Male,15382,925,1420,2523,2437,2254,1989,1531,1001,580,341,381
2008,Male,15598,940,1380,2552,2464,2281,2004,1555,1050,613,357,402
2009,Male,15406,894,1296,2416,2456,2248,2003,1590,1066,649,377,411
2010,Male,16170,934,1335,2477,2630,2343,2084,1687,1141,699,416,424
2011,Male,17137,943,1503,2566,2763,2438,2183,1785,1250,785,462,459
2004,Female,5047,440,765,752,675,637,531,413,282,218,149,184
2005,Female,5108,421,753,788,685,658,563,439,299,201,135,166
2006,Female,5258,420,736,834,722,702,586,441,320,214,136,147
2007,Female,5356,399,748,858,753,720,594,453,322,213,144,152
2008,Female,5595,410,753,902,785,770,611,487,347,228,146,156
2009,Female,5871,404,734,912,871,796,678,510,381,256,166,163
2010,Female,6425,417,779,977,932,888,797,582,419,289,179,166
2011,Female,6973,435,816,1007,1031,961,871,674,473,318,196,191
