Table 11.14 - Basic Indicators on Enterprises by Economic Activity (NACE Rev.1.1) 2003 - Part 2 (Turnover Production Value-Added)
Source: TurkStat Statistical Indicators 1923-2011 chunk_007 page 277
Unit: Million_TL
Year: 2003
NACE_Code,Activity_TR,Activity_EN,Turnover_Ciro_Million_TL,Production_Value_Uretim_Degeri_Million_TL,Value_Added_at_Factor_Cost_Million_TL
Total,Genel toplam,General total,748289918232,436555647063,143318607847
C,Madencilik ve taşocakçılığı,Mining and quarrying,4870520707,4910006103,2086505693
D,İmalat,Manufacturing,230690521729,224284680228,56356919519
E,Elektrik gaz buhar ve sıcak su üretimi ve dağıtımı,Electricity gas and water supply,34098205592,34197839618,8106133274
F,İnşaat,Construction,23104050377,24829284820,7185433518
G,Toptan ve perakende ticaret motorlu taşıt onarımı,Wholesale and retail trade repair of motor vehicles,365543132250,63823936547,40812503094
H,Oteller ve lokantalar,Hotels and restaurants,10881881219,9858476977,2807981354
I,Ulaştırma depolama ve haberleşme,Transport storage and communications,57905340681,53370204610,16865443658
K,Gayrimenkul kiralama ve iş faaliyetleri,Real estate renting and business activities,13636814123,13716607953,5861288139
M,Eğitim,Education,2124046223,2119715675,1234262426
N,Sağlık işleri ve sosyal hizmetler,Health and social work,2727303715,2740597331,1102666934
O,Diğer sosyal toplumsal ve kişisel hizmet faaliyetleri,Other community social and personal service activities,2708101616,2704297201,899470238
