Table,11.42 - Employment and basic indicators in financial intermediary institutions by economic activity
Indicator,Wages and salaries (Maas ve ucretler) - Turkish Lira
Source,TurkStat Financial Intermediary Institution Statistics
NACE_Code,Description_EN,2002,2003,2004,2005,2006,2007,2008,2009,2010
K,Financial and insurance activities,3402570505,4269487319,5129396082,6085590841,7118871157,8450797528,10582237180,11897478157,12911586177
64,Financial service activities (except insurance and pension funding),2963536687,3565973518,4202907445,5047639995,5967947838,7095859823,8960170050,9884824757,10602638906
64.11+64.19,"Monetary intermediation (central bank, commercial banks, special finance houses)",2708833130,3193874514,3810598000,4590906456,5436365343,6438752632,8171241623,8996043280,9572381719
64.91,Financial leasing companies,31254131,36303519,39409811,49565921,64522926,85193260,100283062,99196612,106442725
64.92,Other Credit Granting,,,,,,,,328822477,378641965
64.99,"Other Financial Service Activities n.e.c. (Banks of Development and Investment, Factoring, Asset Management etc.)",,,,,,,,460762388,545172497
64.92+64.99 (2002-2008),"Other credit granting and other financial service activities n.e.c. (agricultural credit cooperatives, banks of development and investment, factoring)",223449426,335795485,352899634,407167618,467059569,571913931,688645365,,
65,Insurance reinsurance and pension funding (except compulsory social security),203908292,260055900,335836261,414718714,480673816,602182807,736959652,810868494,897468430
65.11,Life insurance,73481053,98769585,140297145,171356858,202963331,246706367,287218322,301102446,334072739
65.12+65.20,Non-life insurance and reinsurance,130427239,161286315,195539116,243361856,277710485,355476440,449741330,509766048,563395691
66,Activities auxiliary to financial services and insurance activities,235125526,443457901,590652376,623232132,670249503,752754898,885107478,1201784906,1411478841
66.11,Administration of Financial Markets (Stock Markets),,,,,,,,76084369,97714993
66.12,"Security and commodity contracts brokerage (mutual funds companies and foreign exchange offices)",176823764,200200231,207938376,253514577,315123555,363492362,399183147,372067558,436274349
66.19,"Other activities auxiliary to financial services (except insurance and pension funding) (credit surety cooperatives)",,145745394,146471955,112071051,68044783,77493115,65022038,60138273,84648900
66.21,Risk and Damage Evaluation (Insurance Experts),,,,,,,,29063802,38857766
66.22,Activities of insurance agents and brokers (insurance agents - legal entity),58301762,97512276,236242045,257646504,287081165,311769421,420902293,609729779,688962267
66.30,Fund management activities (portfolio management companies),,,,,,,,54701125,65020566
Notes,"Wages and salaries is the wages/salaries component of total personnel cost. Total personnel cost = wages+salaries + social security contributions.",,,,,,,,,,
