Table_11.39,Quarterly Industrial Hours Worked Index (2005=100) - Main Industrial Groupings
Year,Total_industry,Intermediate_goods,Durable_consumer_goods,Non-durable_consumer_goods,Energy,Capital_goods
2005,100.0,100.0,100.0,100.0,100.0,100.0
2006,102.1,103.6,105.5,98.8,102.7,106.1
2007,106.8,109.3,107.3,101.5,108.2,114.2
2008,105.9,107.3,105.9,100.7,106.0,116.9
2009,94.3,95.4,93.3,92.0,101.1,95.3
2010,98.6,102.3,98.5,94.5,99.1,100.2
2011,103.6,107.6,108.5,96.9,97.2,113.0
