Table,20.13
Title,Gross Domestic Product by kind of economic activity (At 1998 prices)
Unit,Billion TL (Milyar TL)
Source,TurkStat Statistical Indicators 1923-2011
Pages,728-729
Note_1,Data of 2005/2006/2007/2008 are Thousand TRY
Note_2,"From 1.1.2009, TRY expression changed to TL"
Note_3,2011 data are preliminary (*)

Year,1_Agriculture_forestry_hunting,1b_Fishing,2a_Mining_quarrying,2b_Manufacturing,2c_Electricity_gas_water,3_Construction,4_Wholesale_retail_trade,5_Hotels_restaurants,6_Transport_storage_communication,7_Financial_intermediation,8_Ownership_of_dwelling,9_Real_estate_renting_business,10_Public_admin_defence,11_Education,12_Health_social_work,13_Other_community_social_personal,14_Private_households_employed_persons,15_Total_sectors,16_FISIM_minus,17_Taxes_minus_subsidies,18_GDP_purchasers_price
1998,8520613,236870,729072,16791078,1310649,4085861,9836179,1783827,7735727,5347364,3499949,1742077,2819513,1543824,842865,1090449,78665,67994582,3518398,5726963,70203147
1999,8030859,228990,681750,15933358,1291303,3957358,8928077,1469497,8010260,5667013,3642651,1643939,2901319,1568824,837857,1105988,75321,65974364,3621457,5487663,67840570
2000,8626953,217696,674914,17037385,1368969,4150231,9600077,1700648,8908992,5911394,3821380,1681544,2961722,1557939,853718,1141070,78194,70292826,3684508,5828079,72436399
2001,7926313,221062,630890,15736113,1322502,3426908,8054880,1797702,8580577,6854998,3966930,1733821,3128331,1628516,889442,1171931,80203,67151119,4362050,5520283,68309352
2002,8663126,197495,615945,16192617,1366778,3903516,8611917,1824822,9618386,6440559,4105878,1939060,3143688,1703329,960176,1254094,89950,70631336,4007776,5896272,72519831
2003,8475963,207659,602512,17552856,1433070,4207040,9593253,1712403,10473106,6114679,4238349,2034007,3121709,1706706,967480,1250485,92770,73784047,3721266,6275410,76338193
2004,8701635,227653,622726,19645369,1534957,4801693,10916063,1828632,11597023,6969108,4399668,2303417,3217213,1725186,956933,1308830,104595,80860701,4269825,6894715,83485591
2005,9275244,295508,678461,21249692,1751352,5250284,11955208,1835358,12950854,7915871,4557269,2539481,3057765,1799854,1127274,1377698,115880,87733053,4879828,7646506,90499731
2006,9393296,307647,714046,23033310,1902611,6220955,12708356,1880824,13830467,9023176,4679756,2859058,3061672,1892693,1170868,1502719,131482,94312936,5729267,8154651,96738320
2007,8736944,309779,771983,24326791,2031737,6573647,13436516,1921011,14811164,9906091,4779268,3256471,3097712,1983797,1190962,1583443,147480,98868810,6245647,8635476,101254625
2008,9141424,292126,813954,24290306,2107391,6040811,13237437,1882737,15026108,10803084,4889749,3473,3108369,2007025,1230213,1611295,155676,100110905,6773149,8583974,101921730
2009,9477479,291158,759220,22538467,2034945,5067196,,,,,,,3197580,2047582,1268643,1592251,159180,96553011,7429415,7879518,97003114
2010,9703312,296117,795179,25606668,2184157,5996258,,,,,,,3213346,2059719,1283421,1607462,167832,105300829,8323627,8908442,105885644
2011,10261441,301389,826026,28074588,2375831,6671036,,,,,,,3338781,2163966,1350736,1634117,180848,114493639,9441173,9836836,114889302
