table_number,table_name,source_chunk,pages,unit,price_base
20.26,Share of expenditure groups in GDP by expenditure approach [At 1987 prices],chunk_025,"757",Percent (%),1987

Year,Private_Final_Consumption_Total_pct,Private_Food_Beverages_pct,Private_Durable_Goods_pct,Private_SemiDurable_NonDurable_pct,Private_Energy_Transport_Communication_pct,Private_Services_pct,Private_Ownership_Dwelling_pct
1980,77.8,-,-,-,-,-,-
1981,73.6,-,-,-,-,-,-
1982,75.2,-,-,-,-,-,-
1983,75.8,-,-,-,-,-,-
1984,72.9,-,-,-,-,-,-
1985,71.8,-,-,-,-,-,-
1986,71.2,-,-,-,-,-,-
1987,68.6,41.1,10.4,18.0,12.6,8.4,9.4
1988,67.8,41.3,9.2,17.7,13.1,9.4,9.3
1989,66.9,41.1,9.1,17.6,13.1,9.4,9.6
1990,69.3,39.1,12.0,17.6,13.2,9.4,8.7
1991,70.4,39.8,12.2,17.7,13.0,8.6,8.7
1992,68.9,39.4,11.7,17.3,13.7,9.2,8.7
1993,69.0,38.2,13.2,17.1,14.1,9.2,8.2
1994,68.7,39.7,9.5,16.0,15.6,10.3,8.9
1995,67.5,39.6,10.5,16.2,15.0,10.0,8.6
1996,68.2,37.4,13.1,16.7,14.6,10.1,8.2
1997,68.8,34.8,16.1,16.7,13.9,10.8,7.7
1998,67.0,34.5,15.9,16.7,14.5,10.6,7.8
1999,68.5,36.1,16.3,15.7,14.2,9.7,8.1
2000,67.8,35.1,19.5,14.9,13.1,9.8,7.6
2001,66.5,37.2,15.0,14.9,14.5,9.8,8.6
2002,63.0,36.9,15.0,15.1,14.2,10.4,8.6
2003,63.5,36.0,17.4,14.4,13.6,10.5,8.1
2004,64.1,33.6,20.5,15.6,12.4,10.4,7.5
2005,64.9,33.4,21.7,16.2,11.4,10.3,7.0
2006,64.4,32.8,21.2,17.8,11.1,10.3,6.8
