Table_20.8,GNP_by_detailed_economic_activity_at_current_prices,Unit:Million_TL
Note: This table provides breakdown of Agriculture and Industry into subsectors, plus Construction, Trade, Transportation/Communication, Financial Institutions.
Year,Agriculture_total,Agri_livestock,Agri_forestry,Agri_fishing,Industry_total,Industry_mining,Industry_manufacturing,Industry_electricity_gas_water,Construction,Trade,Transport_communication,Financial_institutions
1923,379,375,3,2,126,4,117,5,25,74,35,6
1924,573,567,4,3,119,7,107,5,37,85,43,8
1925,733,725,5,3,148,6,136,6,48,110,55,13
1926,821,813,4,4,166,9,150,7,47,116,60,21
1927,609,603,3,3,192,9,175,8,59,118,60,19
1928,724,719,2,3,189,10,171,9,65,120,65,23
1929,1075,1068,3,5,205,9,187,9,79,131,79,27
1930,723,718,3,3,180,8,163,10,70,103,67,23
1931,632,627,3,3,176,8,158,10,40,96,60,20
1932,471,466,3,2,165,8,147,11,36,85,53,20
1933,429,421,6,2,185,8,166,11,38,87,54,14
1934,417,411,5,2,218,10,197,11,48,99,61,16
1935,465,459,4,2,237,11,214,11,43,107,66,15
1936,734,725,5,3,263,11,241,11,51,123,77,19
1937,740,730,7,3,297,14,273,11,56,140,86,19
1938,763,752,8,3,317,14,292,12,69,152,90,31
1939,808,795,10,3,377,15,349,13,69,166,100,29
1940,930,917,9,4,453,29,410,14,82,186,118,25
1941,1112,1102,5,5,587,51,522,14,86,235,142,40
1942,3175,3144,18,14,835,65,754,16,133,378,231,50
1943,5221,5155,44,22,994,82,891,22,233,503,323,55
1944,2953,2905,35,13,1037,91,921,25,204,466,281,63
1945,2102,2056,38,9,892,91,774,27,202,403,272,72
1946,3137,3086,38,13,1021,73,918,30,220,466,312,105
1947,2912,2857,43,12,1167,88,1043,36,222,606,407,106
1948,4310,4257,28,25,1329,94,1193,42,269,678,466,114
1949,3657,3620,25,12,1351,115,1187,49,348,693,466,115
1950,4068,4029,25,15,1419,125,1238,55,376,703,494,128
1951,5253,5206,28,18,1575,149,1362,64,410,854,595,184
1952,6021,5949,35,37,1788,178,1537,73,501,1015,732,201
1953,7085,7011,38,36,2119,210,1826,83,650,1163,857,247
1954,6207,6127,44,36,2484,229,2164,92,867,1275,971,317
1955,7547,7433,68,46,3073,264,2682,127,1105,1556,1190,407
1956,8765,8608,111,46,3699,302,3250,148,1178,1786,1419,502
1957,12408,12238,116,54,4715,378,4141,197,1598,2412,1835,600
1958,14724,14482,144,98,5979,443,5305,232,1648,3012,2322,754
1959,16456,16213,156,88,8016,847,6832,336,2022,4177,3106,961
1960,17837,17517,228,93,8152,876,6872,404,2320,4393,3365,1112
1961,17760,17411,264,84,8981,894,7652,435,2530,4833,3591,962
1962,21004,20547,335,122,10504,892,9055,557,2687,5650,4337,1176
1963,24248,23727,362,158,12146,916,10661,569,3230,6620,4881,1489
1964,24224,23714,369,141,13689,1171,11808,710,3806,7191,5180,1440
1965,23837,23226,444,167,15552,1346,13468,737,4238,7911,5839,1722
1966,28854,28204,497,153,18575,1535,16153,887,5149,9471,6802,2089
1967,30270,29539,573,157,21741,1727,18790,1224,6275,10803,7438,2540
1968,65499,63275,1717,508,27800,1920,24790,1090,9331,17837,12180,2959
1969,71606,69023,1910,674,31800,2360,28228,1212,10434,20814,13701,3511
1970,76759,74154,2009,597,35417,2492,31551,1374,12004,24535,15818,4278
1971,90610,87796,2202,612,45334,3235,40267,1832,13101,32417,20495,5234
1972,99158,95023,3489,646,56404,3794,50242,2368,15361,41203,24882,6624
1973,123568,118205,4818,544,70950,3956,63917,3076,20336,52130,30509,9462
