table_number,table_title_tr,table_title_en,unit,price_basis
20.36,Gelir yöntemiyle Gayri Safi Yurtiçi Hasıla büyüme hızı,Growth rates of Gross Domestic Product by cost components,Percent (%),Current prices

year,taxes_on_production_and_imports_net_pct,taxes_on_production_and_imports_pct,subsidies_pct,consumption_of_fixed_capital_pct,compensation_of_employees_pct,operating_surplus_pct,gross_domestic_product_pct
1981,51.4,56.6,69.3,69.5,32.4,57.7,51.1
1982,19.2,14.7,5.0,42.3,25.3,35.8,32.8
1983,57.6,59.0,62.3,44.4,38.1,27.9,32.5
1984,27.2,39.0,67.6,77.7,41.7,64.9,58.2
1985,88.8,68.0,29.8,64.6,50.0,60.0,59.5
1986,90.0,68.9,12.4,44.1,43.6,42.8,45.5
1987,69.5,54.1,-15.1,42.2,56.1,41.4,46.3
1988,68.2,69.5,81.1,84.3,79.4,70.2,72.9
1989,71.1,73.3,91.6,54.7,96.4,72.0,75.9
1990,95.4,93.6,80.8,54.7,95.8,63.2,72.9
1991,64.5,73.5,146.2,69.7,87.7,45.9,60.3
1992,68.6,78.6,132.7,70.9,72.5,75.3,73.5
1993,96.0,87.3,53.1,68.8,76.7,83.0,81.3
1994,76.2,88.2,148.2,138.9,61.4,113.1,95.2
1995,132.6,104.0,2.4,86.2,74.3,109.2,100.7
1996,95.9,103.0,160.1,85.6,105.3,84.5,90.3
1997,115.4,106.9,55.3,87.8,110.5,86.5,95.2
1998,72.6,78.8,130.8,87.1,78.7,83.2,81.1
1999,54.7,58.5,83.0,63.3,78.6,32.0,48.2
2000,96.8,82.3,4.7,52.9,53.1,59.0,60.9
2001,49.4,48.6,39.8,80.8,39.0,39.1,43.2
2002,67.5,57.7,-46.9,62.5,44.2,57.6,55.6
2003,39.5,37.7,-23.4,13.8,28.9,29.7,29.6
2004,24.4,23.8,-15.4,10.5,20.5,19.1,19.7
2005,19.3,19.4,27.3,5.1,14.5,11.5,13.2
2006,15.8,15.9,23.3,13.4,16.6,20.8,18.3

notes,"(1) Operating surplus calculated as a residual from the GDP by production method. (2) GDP by kind of activity (production method). Growth rates are year-on-year at current prices."
